"Points:0","Points:1","Points:2"
0.13326,0,0.1216
0.13327,0,0.12157
0.1333,0,0.12148
0.13334,0,0.12133
0.1334,0,0.12112
0.13347,0,0.12086
0.13355,0,0.12054
0.13365,0,0.12018
0.13376,0,0.11978
0.13387,0,0.11933
0.134,0,0.11884
0.13413,0,0.11831
0.13427,0,0.11775
0.13442,0,0.11716
0.13457,0,0.11653
0.13472,0,0.11588
0.13487,0,0.11521
0.13502,0,0.11451
0.13518,0,0.11379
0.13533,0,0.11306
0.13548,0,0.11232
0.13562,0,0.11156
0.13576,0,0.11079
0.1359,0,0.11002
0.13602,0,0.10925
0.13614,0,0.10847
0.13625,0,0.1077
0.13636,0,0.10693
0.13645,0,0.10616
0.13654,0,0.10541
0.13663,0,0.10467
0.1367,0,0.10394
0.13678,0,0.10322
0.13684,0,0.10253
0.1369,0,0.10185
0.13695,0,0.1012
0.137,0,0.10057
0.13704,0,0.09997
0.13708,0,0.0994
0.13712,0,0.098861
0.13715,0,0.098358
0.13717,0,0.097891
0.13719,0,0.097463
0.13721,0,0.097077
0.13723,0,0.096735
0.13724,0,0.096439
0.13725,0,0.096192
0.13726,0,0.095995
0.13726,0,0.095852
0.13726,0,0.095764
0.13726,0,0.095735
