"Points:0","Points:1","Points:2"
0.13034044,0,0.027535886
0.13077392,0,0.028716709
0.13188089,0,0.031754788
0.13337117,0,0.035893522
0.13495456,0,0.040376324
0.13635333,0,0.044479299
0.13749154,0,0.048007395
0.13845667,0,0.051193826
0.13934085,0,0.054284114
0.14022394,0,0.057507958
0.14104636,0,0.06091588
0.14166038,0,0.064445071
0.14191683,0,0.068030953
0.14167362,0,0.071607336
0.14087929,0,0.075087562
0.13954549,0,0.078370713
0.13768785,0,0.081358515
0.13542672,0,0.084068179
0.13301894,0,0.086667433
0.13073049,0,0.089334123
0.12881482,0,0.092237942
0.12728013,0,0.095390037
0.12591191,0,0.098657526
0.12448753,0,0.10190227
0.12278436,0,0.10498613
0.12063797,0,0.10779186
0.11808653,0,0.11027496
0.11521231,0,0.11240672
0.11209756,0,0.11415844
0.10881787,0,0.1155121
0.10541871,0,0.11649746
0.10193714,0,0.11715779
0.098410189,0,0.11753628
0.094874837,0,0.11767606
0.091356598,0,0.1176048
0.087857552,0,0.11731851
0.084376894,0,0.11680933
0.080913819,0,0.11606939
0.077467524,0,0.11509082
0.07404945,0,0.11386938
0.070725754,0,0.11241703
0.067577913,0,0.11075025
0.064687379,0,0.10888556
0.062127378,0,0.10684089
0.059771571,0,0.10466976
0.057288345,0,0.10246225
0.054336693,0,0.10031009
0.050576676,0,0.098305106
0.046137791,0,0.09657824
0.042355288,0,0.095360816
0.040755309,0,0.094900064
