# Description of *Buccinator_R* muscle bundle. Created on 2016.07.27_12:50:23 PDT. 

points
0, 0.066814, 0.023702, 0.108069, type=FemMarker, attach=face
1, 0.074641, 0.026792, 0.109121, type=FemMarker, attach=face
2, 0.084811, 0.029431, 0.111600, type=FemMarker, attach=face
3, 0.093006, 0.033342, 0.113600, type=FemMarker, attach=face
4, 0.095664, 0.035572, 0.115819, type=FemMarker, attach=face
5, 0.100167, 0.042702, 0.123172, type=FemMarker, attach=face
6, 0.072059, 0.021258, 0.095614, type=FemMarker, attach=face
7, 0.076921, 0.024031, 0.095656, type=FemMarker, attach=face
8, 0.084459, 0.027647, 0.096096, type=FemMarker, attach=face
9, 0.091456, 0.030402, 0.097353, type=FemMarker, attach=face
10, 0.095985, 0.032724, 0.098258, type=FemMarker, attach=face
11, 0.098750, 0.034850, 0.100291, type=FemMarker, attach=face

connections
0, 1, 2, 3, 4, 5
6, 7, 8, 9, 10, 11

