# Description of *CricoPharyngeal_L* muscle bundle. Created on 2015.05.28_16:51:15 PDT. 

points
0, 0.159392, -0.000000, 0.016295, type=FemMarker, attach=pharynx
1, 0.159166, -0.002670, 0.016122, type=FemMarker, attach=pharynx
2, 0.158952, -0.004564, 0.015268, type=FemMarker, attach=pharynx
3, 0.158460, -0.006445, 0.014946, type=FemMarker, attach=pharynx
4, 0.157515, -0.008866, 0.014332, type=FemMarker, attach=pharynx
5, 0.156720, -0.010291, 0.013689, type=FemMarker, attach=pharynx
6, 0.155747, -0.011487, 0.013247, type=FemMarker, attach=pharynx
7, 0.153782, -0.012954, 0.012884, type=FemMarker, attach=pharynx
8, 0.152677, -0.013483, 0.012812, type=FemMarker, attach=pharynx
9, 0.150983, -0.014060, 0.013205, type=FemMarker, attach=pharynx
10, 0.149286, -0.014497, 0.013465, type=FemMarker, attach=pharynx
11, 0.148099, -0.015294, 0.014306, type=FemMarker, attach=pharynx
12, 0.146877, -0.016163, 0.014996, type=FemMarker, attach=pharynx
13, 0.145445, -0.016884, 0.015449, type=FemMarker, attach=pharynx
14, 0.159741, 0.000000, 0.013758, type=FemMarker, attach=pharynx
15, 0.159224, -0.004063, 0.013683, type=FemMarker, attach=pharynx
16, 0.158846, -0.005448, 0.013484, type=FemMarker, attach=pharynx
17, 0.158227, -0.007179, 0.013330, type=FemMarker, attach=pharynx
18, 0.157741, -0.008310, 0.012956, type=FemMarker, attach=pharynx
19, 0.157289, -0.009166, 0.012707, type=FemMarker, attach=pharynx
20, 0.156794, -0.009969, 0.012178, type=FemMarker, attach=pharynx
21, 0.155819, -0.011084, 0.011770, type=FemMarker, attach=pharynx
22, 0.154806, -0.011831, 0.011298, type=FemMarker, attach=pharynx
23, 0.153280, -0.012736, 0.011452, type=FemMarker, attach=pharynx
24, 0.151917, -0.013214, 0.011680, type=FemMarker, attach=pharynx
25, 0.150850, -0.013497, 0.012005, type=FemMarker, attach=pharynx
26, 0.149680, -0.013995, 0.012626, type=FemMarker, attach=pharynx
27, 0.148519, -0.014595, 0.013335, type=FemMarker, attach=pharynx
28, 0.147327, -0.015452, 0.014026, type=FemMarker, attach=pharynx
29, 0.146091, -0.016007, 0.013993, type=FemMarker, attach=pharynx
30, 0.159820, -0.000000, 0.012138, type=FemMarker, attach=pharynx
31, 0.159376, -0.003562, 0.012011, type=FemMarker, attach=pharynx
32, 0.158904, -0.005478, 0.011879, type=FemMarker, attach=pharynx
33, 0.158428, -0.006928, 0.011680, type=FemMarker, attach=pharynx
34, 0.158007, -0.007897, 0.011719, type=FemMarker, attach=pharynx
35, 0.157236, -0.009306, 0.011613, type=FemMarker, attach=pharynx
36, 0.156409, -0.010374, 0.011391, type=FemMarker, attach=pharynx
37, 0.155704, -0.011060, 0.011122, type=FemMarker, attach=pharynx
38, 0.155211, -0.011386, 0.010599, type=FemMarker, attach=pharynx
39, 0.154567, -0.011776, 0.010217, type=FemMarker, attach=pharynx
40, 0.153265, -0.012322, 0.010203, type=FemMarker, attach=pharynx
41, 0.151721, -0.012777, 0.010472, type=FemMarker, attach=pharynx
42, 0.150925, -0.012976, 0.010807, type=FemMarker, attach=pharynx
43, 0.149930, -0.013397, 0.011390, type=FemMarker, attach=pharynx
44, 0.148735, -0.013972, 0.012039, type=FemMarker, attach=pharynx
45, 0.147672, -0.014656, 0.012640, type=FemMarker, attach=pharynx
46, 0.146491, -0.015459, 0.013099, type=FemMarker, attach=pharynx
47, 0.145890, -0.015827, 0.013303, type=FemMarker, attach=pharynx
48, 0.159877, 0.000000, 0.010395, type=FemMarker, attach=pharynx
49, 0.159438, -0.003446, 0.010281, type=FemMarker, attach=pharynx
50, 0.159110, -0.004843, 0.010251, type=FemMarker, attach=pharynx
51, 0.158726, -0.006238, 0.010486, type=FemMarker, attach=pharynx
52, 0.158168, -0.007728, 0.010547, type=FemMarker, attach=pharynx
53, 0.157262, -0.009234, 0.010475, type=FemMarker, attach=pharynx
54, 0.156593, -0.010060, 0.010023, type=FemMarker, attach=pharynx
55, 0.155589, -0.010978, 0.010065, type=FemMarker, attach=pharynx
