# Description of *InferiorConstrictor1_L* muscle bundle. Created on 2015.05.28_16:51:15 PDT. 

points
0, 0.140348, 0.000000, 0.091765, type=FemMarker, attach=pharynx
1, 0.140585, -0.001317, 0.089369, type=FemMarker, attach=pharynx
2, 0.140732, -0.002464, 0.087767, type=FemMarker, attach=pharynx
3, 0.140901, -0.004397, 0.085638, type=FemMarker, attach=pharynx
4, 0.141015, -0.006740, 0.083567, type=FemMarker, attach=pharynx
5, 0.141046, -0.009168, 0.081744, type=FemMarker, attach=pharynx
6, 0.141022, -0.010918, 0.080554, type=FemMarker, attach=pharynx
7, 0.140967, -0.012630, 0.079454, type=FemMarker, attach=pharynx
8, 0.140878, -0.014359, 0.078390, type=FemMarker, attach=pharynx
9, 0.140657, -0.016948, 0.076802, type=FemMarker, attach=pharynx
10, 0.140478, -0.018466, 0.075782, type=FemMarker, attach=pharynx
11, 0.140386, -0.019821, 0.074672, type=FemMarker, attach=pharynx
12, 0.140536, -0.021205, 0.073099, type=FemMarker, attach=pharynx
13, 0.140670, -0.022079, 0.071908, type=FemMarker, attach=pharynx
14, 0.140620, -0.023257, 0.070596, type=FemMarker, attach=pharynx
15, 0.140430, -0.024291, 0.069161, type=FemMarker, attach=pharynx
16, 0.140535, -0.024567, 0.067944, type=FemMarker, attach=pharynx
17, 0.140887, -0.024784, 0.066108, type=FemMarker, attach=pharynx
18, 0.141109, -0.025256, 0.063669, type=FemMarker, attach=pharynx
19, 0.141290, -0.025524, 0.061794, type=FemMarker, attach=pharynx
20, 0.141466, -0.025720, 0.059957, type=FemMarker, attach=pharynx
21, 0.141622, -0.025851, 0.058156, type=FemMarker, attach=pharynx
22, 0.141748, -0.025914, 0.056433, type=FemMarker, attach=pharynx
23, 0.141820, -0.025912, 0.054892, type=FemMarker, attach=pharynx
24, 0.141833, -0.025853, 0.053425, type=FemMarker, attach=pharynx
25, 0.141759, -0.025753, 0.052086, type=FemMarker, attach=pharynx
26, 0.141671, -0.025638, 0.050869, type=FemMarker, attach=pharynx
27, 0.141039, -0.025500, 0.049462, type=FemMarker, attach=pharynx
28, 0.140537, -0.025364, 0.049149, type=FemMarker, attach=pharynx
29, 0.139966, -0.025147, 0.049156, type=FemNode, attach=thyroid
30, 0.141332, -0.000000, 0.084868, type=FemMarker, attach=pharynx
31, 0.141646, -0.002506, 0.082812, type=FemMarker, attach=pharynx
32, 0.142043, -0.005524, 0.080196, type=FemMarker, attach=pharynx
33, 0.142296, -0.008121, 0.078325, type=FemMarker, attach=pharynx
34, 0.142484, -0.010710, 0.076673, type=FemMarker, attach=pharynx
35, 0.142604, -0.013475, 0.075077, type=FemMarker, attach=pharynx
36, 0.142836, -0.015417, 0.073499, type=FemMarker, attach=pharynx
37, 0.143004, -0.017392, 0.071958, type=FemMarker, attach=pharynx
38, 0.143004, -0.019289, 0.070541, type=FemMarker, attach=pharynx
39, 0.142996, -0.021127, 0.068568, type=FemMarker, attach=pharynx
40, 0.142816, -0.022740, 0.066376, type=FemMarker, attach=pharynx
41, 0.143007, -0.023699, 0.063855, type=FemMarker, attach=pharynx
42, 0.143112, -0.024508, 0.061260, type=FemMarker, attach=pharynx
43, 0.143164, -0.025179, 0.058224, type=FemMarker, attach=pharynx
44, 0.143609, -0.025366, 0.054722, type=FemMarker, attach=pharynx
45, 0.143031, -0.025561, 0.052007, type=FemMarker, attach=pharynx
46, 0.143016, -0.025460, 0.049376, type=FemMarker, attach=pharynx
47, 0.142480, -0.025571, 0.048073, type=FemMarker, attach=pharynx
48, 0.141869, -0.025419, 0.046277, type=FemMarker, attach=pharynx
