# Description of *InferiorConstrictor3_L* muscle bundle. Created on 2015.05.28_16:51:15 PDT. 

points
0, 0.157280, -0.000000, 0.027237, type=FemMarker, attach=pharynx
1, 0.156974, -0.003250, 0.027209, type=FemMarker, attach=pharynx
2, 0.156481, -0.006230, 0.027179, type=FemMarker, attach=pharynx
3, 0.155939, -0.009114, 0.027164, type=FemMarker, attach=pharynx
4, 0.155331, -0.011936, 0.027155, type=FemMarker, attach=pharynx
5, 0.154893, -0.013736, 0.027146, type=FemMarker, attach=pharynx
6, 0.154126, -0.016406, 0.027126, type=FemMarker, attach=pharynx
7, 0.152830, -0.019667, 0.027089, type=FemMarker, attach=pharynx
8, 0.151871, -0.021217, 0.027095, type=FemMarker, attach=pharynx
9, 0.149971, -0.022876, 0.026333, type=FemMarker, attach=pharynx
10, 0.148717, -0.023390, 0.025756, type=FemMarker, attach=pharynx
11, 0.147277, -0.023657, 0.025514, type=FemMarker, attach=pharynx
12, 0.145835, -0.023678, 0.025329, type=FemMarker, attach=pharynx
13, 0.143562, -0.023735, 0.025900, type=FemMarker, attach=pharynx
14, 0.141567, -0.023900, 0.026282, type=FemMarker, attach=pharynx
15, 0.140554, -0.023793, 0.026488, type=FemMarker, attach=pharynx
16, 0.138784, -0.023582, 0.027319, type=FemMarker, attach=pharynx
17, 0.138157, -0.023307, 0.027377, type=FemNode, attach=thyroid
18, 0.157811, -0.000000, 0.024189, type=FemMarker, attach=pharynx
19, 0.157517, -0.003135, 0.024141, type=FemMarker, attach=pharynx
20, 0.157189, -0.005111, 0.024100, type=FemMarker, attach=pharynx
21, 0.156858, -0.006914, 0.024072, type=FemMarker, attach=pharynx
22, 0.156478, -0.008766, 0.024050, type=FemMarker, attach=pharynx
23, 0.156048, -0.010643, 0.024031, type=FemMarker, attach=pharynx
24, 0.155374, -0.013195, 0.024004, type=FemMarker, attach=pharynx
25, 0.154554, -0.015734, 0.023971, type=FemMarker, attach=pharynx
26, 0.153946, -0.017277, 0.023947, type=FemMarker, attach=pharynx
27, 0.153199, -0.018801, 0.023926, type=FemMarker, attach=pharynx
28, 0.152252, -0.020240, 0.023929, type=FemMarker, attach=pharynx
29, 0.151102, -0.021481, 0.024029, type=FemMarker, attach=pharynx
30, 0.149503, -0.022566, 0.024096, type=FemMarker, attach=pharynx
31, 0.147405, -0.023233, 0.024268, type=FemMarker, attach=pharynx
32, 0.146315, -0.023308, 0.024336, type=FemMarker, attach=pharynx
33, 0.143904, -0.023493, 0.024869, type=FemMarker, attach=pharynx
34, 0.142090, -0.023661, 0.024993, type=FemMarker, attach=pharynx
35, 0.140828, -0.023673, 0.025435, type=FemMarker, attach=pharynx
36, 0.139688, -0.023560, 0.025968, type=FemMarker, attach=pharynx
37, 0.138409, -0.023236, 0.026770, type=FemNode, attach=thyroid
38, 0.158356, 0.000000, 0.021071, type=FemMarker, attach=pharynx
39, 0.157940, -0.003842, 0.020862, type=FemMarker, attach=pharynx
40, 0.157210, -0.007439, 0.020853, type=FemMarker, attach=pharynx
41, 0.156531, -0.010062, 0.020775, type=FemMarker, attach=pharynx
42, 0.155521, -0.013210, 0.020614, type=FemMarker, attach=pharynx
43, 0.154239, -0.016194, 0.020652, type=FemMarker, attach=pharynx
44, 0.152981, -0.018314, 0.020667, type=FemMarker, attach=pharynx
45, 0.150651, -0.020643, 0.020840, type=FemMarker, attach=pharynx
46, 0.148156, -0.021868, 0.021046, type=FemMarker, attach=pharynx
47, 0.145663, -0.022563, 0.022229, type=FemMarker, attach=pharynx
48, 0.143189, -0.023193, 0.023280, type=FemMarker, attach=pharynx
49, 0.141409, -0.023453, 0.023931, type=FemMarker, attach=pharynx
50, 0.139451, -0.023205, 0.025056, type=FemMarker, attach=pharynx
51, 0.138895, -0.023011, 0.025276, type=FemNode, attach=thyroid
52, 0.159030, 0.000000, 0.017583, type=FemMarker, attach=pharynx
53, 0.158666, -0.004053, 0.017371, type=FemMarker, attach=pharynx
54, 0.158370, -0.005754, 0.017048, type=FemMarker, attach=pharynx
55, 0.157498, -0.008575, 0.017221, type=FemMarker, attach=pharynx
56, 0.156226, -0.011488, 0.017716, type=FemMarker, attach=pharynx
57, 0.154925, -0.014101, 0.017536, type=FemMarker, attach=pharynx
58, 0.153199, -0.016593, 0.017574, type=FemMarker, attach=pharynx
59, 0.150921, -0.017828, 0.017147, type=FemMarker, attach=pharynx
60, 0.148979, -0.019041, 0.017658, type=FemMarker, attach=pharynx
61, 0.147733, -0.019438, 0.017792, type=FemMarker, attach=pharynx
62, 0.145844, -0.020800, 0.018777, type=FemMarker, attach=pharynx
63, 0.144050, -0.021967, 0.019927, type=FemMarker, attach=pharynx
64, 0.143149, -0.022358, 0.020894, type=FemNode, attach=thyroid

connections
0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17
18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37
38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51
52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64

