# Description of *MiddleConstrictor2_L* muscle bundle. Created on 2015.05.28_16:51:15 PDT. 

points
0, 0.140508, 0.000000, 0.088697, type=FemMarker, attach=pharynx
1, 0.140466, -0.002478, 0.087314, type=FemMarker, attach=pharynx
2, 0.140455, -0.004422, 0.086241, type=FemMarker, attach=pharynx
3, 0.140467, -0.006423, 0.085183, type=FemMarker, attach=pharynx
4, 0.140499, -0.009305, 0.083734, type=FemMarker, attach=pharynx
5, 0.140492, -0.011449, 0.082706, type=FemMarker, attach=pharynx
6, 0.140445, -0.013722, 0.081598, type=FemMarker, attach=pharynx
7, 0.140338, -0.015936, 0.080488, type=FemMarker, attach=pharynx
8, 0.140039, -0.018772, 0.079049, type=FemMarker, attach=pharynx
9, 0.139643, -0.020767, 0.078036, type=FemMarker, attach=pharynx
10, 0.139005, -0.022606, 0.077085, type=FemMarker, attach=pharynx
11, 0.138037, -0.024169, 0.076293, type=FemMarker, attach=pharynx
12, 0.137260, -0.024964, 0.075709, type=FemMarker, attach=pharynx
13, 0.136630, -0.025418, 0.075115, type=FemMarker, attach=pharynx
14, 0.135947, -0.025724, 0.074377, type=FemMarker, attach=pharynx
15, 0.135472, -0.025817, 0.073630, type=FemMarker, attach=pharynx
16, 0.134945, -0.025815, 0.072660, type=FemMarker, attach=pharynx
17, 0.134279, -0.025733, 0.071765, type=FemMarker, attach=pharynx
18, 0.133602, -0.025591, 0.070700, type=FemMarker, attach=pharynx
19, 0.132826, -0.025415, 0.069705, type=FemMarker, attach=pharynx
20, 0.132067, -0.025266, 0.068872, type=FemMarker, attach=pharynx
21, 0.131317, -0.025132, 0.068315, type=FemMarker, attach=pharynx
22, 0.141153, 0.000000, 0.084126, type=FemMarker, attach=pharynx
23, 0.141094, -0.001942, 0.083366, type=FemMarker, attach=pharynx
24, 0.141050, -0.003843, 0.082586, type=FemMarker, attach=pharynx
25, 0.141023, -0.005819, 0.081799, type=FemMarker, attach=pharynx
26, 0.141020, -0.007915, 0.080979, type=FemMarker, attach=pharynx
27, 0.141004, -0.010049, 0.080188, type=FemMarker, attach=pharynx
28, 0.140926, -0.012926, 0.079138, type=FemMarker, attach=pharynx
29, 0.140816, -0.015069, 0.078306, type=FemMarker, attach=pharynx
30, 0.140613, -0.017262, 0.077446, type=FemMarker, attach=pharynx
31, 0.140306, -0.019234, 0.076688, type=FemMarker, attach=pharynx
32, 0.139809, -0.021181, 0.075973, type=FemMarker, attach=pharynx
33, 0.139078, -0.022874, 0.075368, type=FemMarker, attach=pharynx
34, 0.138036, -0.024319, 0.074984, type=FemMarker, attach=pharynx
35, 0.137530, -0.024864, 0.074471, type=FemMarker, attach=pharynx
36, 0.137067, -0.025227, 0.074274, type=FemMarker, attach=pharynx
37, 0.136719, -0.025474, 0.073711, type=FemMarker, attach=pharynx
38, 0.136321, -0.025672, 0.072957, type=FemMarker, attach=pharynx
39, 0.135809, -0.025786, 0.072122, type=FemMarker, attach=pharynx
40, 0.135592, -0.025808, 0.071490, type=FemMarker, attach=pharynx
41, 0.134892, -0.025784, 0.070555, type=FemMarker, attach=pharynx
42, 0.134031, -0.025669, 0.069760, type=FemMarker, attach=pharynx
43, 0.142064, 0.000000, 0.079223, type=FemMarker, attach=pharynx
44, 0.141984, -0.001395, 0.078915, type=FemMarker, attach=pharynx
45, 0.141884, -0.003239, 0.078450, type=FemMarker, attach=pharynx
46, 0.141752, -0.006492, 0.077630, type=FemMarker, attach=pharynx
47, 0.141677, -0.009297, 0.076933, type=FemMarker, attach=pharynx
48, 0.141587, -0.011357, 0.076464, type=FemMarker, attach=pharynx
49, 0.141459, -0.013532, 0.075926, type=FemMarker, attach=pharynx
50, 0.141280, -0.015648, 0.075360, type=FemMarker, attach=pharynx
51, 0.141105, -0.017054, 0.074991, type=FemMarker, attach=pharynx
52, 0.140758, -0.018991, 0.074520, type=FemMarker, attach=pharynx
53, 0.140430, -0.020274, 0.074247, type=FemMarker, attach=pharynx
54, 0.139997, -0.021505, 0.074012, type=FemMarker, attach=pharynx
55, 0.139742, -0.022071, 0.073911, type=FemMarker, attach=pharynx
56, 0.138990, -0.023487, 0.073111, type=FemMarker, attach=pharynx
57, 0.138443, -0.024258, 0.072821, type=FemMarker, attach=pharynx
58, 0.138180, -0.024621, 0.072563, type=FemMarker, attach=pharynx
59, 0.137694, -0.025059, 0.072553, type=FemMarker, attach=pharynx
60, 0.137434, -0.025254, 0.072478, type=FemMarker, attach=pharynx
61, 0.137134, -0.025490, 0.072016, type=FemMarker, attach=pharynx
62, 0.136723, -0.025690, 0.071480, type=FemMarker, attach=pharynx
63, 0.136385, -0.025782, 0.071083, type=FemMarker, attach=pharynx
64, 0.143884, 0.000000, 0.071683, type=FemMarker, attach=pharynx
65, 0.143632, -0.001979, 0.071718, type=FemMarker, attach=pharynx
66, 0.143395, -0.003841, 0.071731, type=FemMarker, attach=pharynx
67, 0.143196, -0.005754, 0.071706, type=FemMarker, attach=pharynx
68, 0.143116, -0.007779, 0.071654, type=FemMarker, attach=pharynx
69, 0.143055, -0.009166, 0.071627, type=FemMarker, attach=pharynx
70, 0.142823, -0.011170, 0.071591, type=FemMarker, attach=pharynx
71, 0.142669, -0.012583, 0.071538, type=FemMarker, attach=pharynx
72, 0.142320, -0.014626, 0.071365, type=FemMarker, attach=pharynx
73, 0.141984, -0.016739, 0.071229, type=FemMarker, attach=pharynx
74, 0.141712, -0.018020, 0.071188, type=FemMarker, attach=pharynx
75, 0.141363, -0.019327, 0.071196, type=FemMarker, attach=pharynx
76, 0.140939, -0.020556, 0.071258, type=FemMarker, attach=pharynx
77, 0.140409, -0.021713, 0.071362, type=FemMarker, attach=pharynx
78, 0.139799, -0.022733, 0.071539, type=FemMarker, attach=pharynx
79, 0.139319, -0.023572, 0.071258, type=FemMarker, attach=pharynx
80, 0.138667, -0.024422, 0.071499, type=FemMarker, attach=pharynx
81, 0.138386, -0.024759, 0.071479, type=FemMarker, attach=pharynx
82, 0.137933, -0.025122, 0.071610, type=FemMarker, attach=pharynx
83, 0.137733, -0.025321, 0.071370, type=FemMarker, attach=pharynx

connections
0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21
22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42
43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63
64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83

