# Description of *MiddleConstrictor3_L* muscle bundle. Created on 2015.05.28_16:51:15 PDT. 

points
0, 0.145427, -0.000000, 0.066288, type=FemMarker, attach=pharynx
1, 0.145043, -0.001980, 0.066689, type=FemMarker, attach=pharynx
2, 0.144681, -0.003819, 0.067061, type=FemMarker, attach=pharynx
3, 0.144448, -0.005709, 0.067398, type=FemMarker, attach=pharynx
4, 0.144284, -0.007708, 0.067682, type=FemMarker, attach=pharynx
5, 0.144075, -0.009747, 0.067965, type=FemMarker, attach=pharynx
6, 0.143764, -0.011784, 0.068240, type=FemMarker, attach=pharynx
7, 0.143417, -0.013830, 0.068390, type=FemMarker, attach=pharynx
8, 0.142895, -0.015876, 0.068476, type=FemMarker, attach=pharynx
9, 0.142389, -0.017844, 0.068675, type=FemMarker, attach=pharynx
10, 0.141992, -0.019146, 0.068895, type=FemMarker, attach=pharynx
11, 0.141520, -0.020373, 0.069171, type=FemMarker, attach=pharynx
12, 0.140947, -0.021530, 0.069491, type=FemMarker, attach=pharynx
13, 0.140302, -0.022545, 0.069889, type=FemMarker, attach=pharynx
14, 0.139570, -0.023482, 0.070534, type=FemMarker, attach=pharynx
15, 0.139170, -0.023929, 0.070983, type=FemMarker, attach=pharynx
16, 0.138814, -0.024370, 0.071175, type=FemMarker, attach=pharynx
17, 0.138268, -0.024877, 0.071485, type=FemMarker, attach=pharynx
18, 0.137933, -0.025122, 0.071610, type=FemMarker, attach=pharynx
19, 0.137553, -0.025350, 0.071677, type=FemMarker, attach=pharynx
20, 0.137109, -0.025554, 0.071665, type=FemMarker, attach=pharynx
21, 0.136723, -0.025690, 0.071480, type=FemMarker, attach=pharynx
22, 0.136341, -0.025781, 0.071159, type=FemMarker, attach=pharynx
23, 0.135929, -0.025823, 0.070902, type=FemMarker, attach=pharynx
24, 0.135486, -0.025829, 0.070610, type=FemMarker, attach=pharynx
25, 0.147241, 0.000000, 0.060426, type=FemMarker, attach=pharynx
26, 0.146703, -0.001991, 0.061227, type=FemMarker, attach=pharynx
27, 0.146270, -0.003817, 0.062017, type=FemMarker, attach=pharynx
28, 0.146084, -0.005070, 0.062526, type=FemMarker, attach=pharynx
29, 0.145809, -0.006962, 0.063174, type=FemMarker, attach=pharynx
30, 0.145535, -0.009014, 0.063811, type=FemMarker, attach=pharynx
31, 0.145168, -0.010996, 0.064424, type=FemMarker, attach=pharynx
32, 0.144772, -0.013085, 0.064968, type=FemMarker, attach=pharynx
33, 0.144223, -0.015165, 0.065353, type=FemMarker, attach=pharynx
34, 0.143550, -0.017161, 0.065770, type=FemMarker, attach=pharynx
35, 0.142756, -0.019028, 0.066335, type=FemMarker, attach=pharynx
36, 0.142228, -0.020252, 0.066837, type=FemMarker, attach=pharynx
37, 0.141597, -0.021406, 0.067390, type=FemMarker, attach=pharynx
38, 0.140904, -0.022413, 0.068024, type=FemMarker, attach=pharynx
39, 0.140133, -0.023330, 0.068957, type=FemMarker, attach=pharynx
40, 0.139713, -0.023775, 0.069576, type=FemMarker, attach=pharynx
41, 0.139046, -0.024486, 0.070321, type=FemMarker, attach=pharynx
42, 0.138535, -0.024810, 0.070968, type=FemMarker, attach=pharynx
43, 0.138127, -0.025080, 0.071263, type=FemMarker, attach=pharynx
44, 0.137674, -0.025330, 0.071472, type=FemMarker, attach=pharynx
45, 0.137218, -0.025543, 0.071482, type=FemMarker, attach=pharynx
46, 0.136966, -0.025626, 0.071492, type=FemMarker, attach=pharynx
47, 0.136609, -0.025740, 0.071203, type=FemMarker, attach=pharynx
48, 0.136385, -0.025782, 0.071083, type=FemMarker, attach=pharynx
49, 0.136429, -0.025784, 0.071003, type=FemMarker, attach=pharynx
50, 0.149041, 0.000000, 0.054841, type=FemMarker, attach=pharynx
51, 0.148167, -0.002595, 0.056398, type=FemMarker, attach=pharynx
52, 0.147638, -0.005087, 0.057961, type=FemMarker, attach=pharynx
53, 0.147144, -0.007670, 0.059276, type=FemMarker, attach=pharynx
54, 0.146454, -0.010984, 0.060847, type=FemMarker, attach=pharynx
55, 0.145820, -0.013780, 0.061914, type=FemMarker, attach=pharynx
56, 0.144909, -0.016523, 0.062822, type=FemMarker, attach=pharynx
57, 0.143560, -0.018992, 0.063831, type=FemMarker, attach=pharynx
58, 0.142643, -0.020799, 0.064924, type=FemMarker, attach=pharynx
59, 0.141916, -0.021874, 0.065723, type=FemMarker, attach=pharynx
60, 0.141013, -0.023220, 0.066568, type=FemMarker, attach=pharynx
61, 0.140190, -0.024107, 0.067964, type=FemMarker, attach=pharynx
62, 0.139588, -0.024647, 0.068822, type=FemMarker, attach=pharynx
63, 0.139300, -0.024810, 0.069229, type=FemMarker, attach=pharynx
64, 0.138838, -0.025104, 0.069679, type=FemMarker, attach=pharynx
65, 0.138576, -0.025249, 0.069874, type=FemMarker, attach=pharynx
66, 0.138190, -0.025460, 0.070007, type=FemMarker, attach=pharynx
67, 0.137618, -0.025618, 0.070374, type=FemMarker, attach=pharynx
68, 0.150985, -0.000000, 0.048982, type=FemMarker, attach=pharynx
69, 0.149959, -0.002638, 0.051077, type=FemMarker, attach=pharynx
70, 0.148903, -0.006390, 0.054055, type=FemMarker, attach=pharynx
71, 0.148262, -0.009041, 0.055796, type=FemMarker, attach=pharynx
72, 0.147542, -0.011723, 0.057463, type=FemMarker, attach=pharynx
73, 0.146771, -0.014499, 0.058829, type=FemMarker, attach=pharynx
74, 0.146277, -0.015872, 0.059460, type=FemMarker, attach=pharynx
75, 0.145740, -0.017315, 0.060136, type=FemMarker, attach=pharynx
76, 0.144991, -0.018453, 0.060815, type=FemMarker, attach=pharynx
77, 0.143819, -0.020237, 0.062095, type=FemMarker, attach=pharynx
78, 0.143064, -0.021379, 0.063092, type=FemMarker, attach=pharynx
79, 0.141761, -0.022835, 0.064943, type=FemMarker, attach=pharynx
80, 0.140866, -0.023634, 0.066624, type=FemMarker, attach=pharynx
81, 0.140033, -0.024346, 0.068131, type=FemMarker, attach=pharynx
82, 0.139464, -0.024782, 0.068916, type=FemMarker, attach=pharynx
83, 0.138747, -0.025226, 0.069601, type=FemMarker, attach=pharynx
84, 0.138458, -0.025367, 0.069797, type=FemMarker, attach=pharynx

connections
