# Description of *SalpingoPharyngeus_L* muscle bundle. Created on 2015.05.28_16:51:15 PDT. 

points
0, 0.129298, -0.015163, 0.121243, type=FemMarker, attach=pharynx
1, 0.131417, -0.016603, 0.112866, type=FemMarker, attach=pharynx
2, 0.131856, -0.017422, 0.108154, type=FemMarker, attach=pharynx
3, 0.132556, -0.019307, 0.099576, type=FemMarker, attach=pharynx
4, 0.133132, -0.020224, 0.093820, type=FemMarker, attach=pharynx
5, 0.134075, -0.022093, 0.088115, type=FemMarker, attach=pharynx
6, 0.135545, -0.023998, 0.083030, type=FemMarker, attach=pharynx
7, 0.137539, -0.023273, 0.076417, type=FemMarker, attach=pharynx
8, 0.138767, -0.022761, 0.071069, type=FemMarker, attach=pharynx
9, 0.140683, -0.023749, 0.063542, type=FemMarker, attach=pharynx
10, 0.143252, -0.024601, 0.055640, type=FemMarker, attach=pharynx
11, 0.144708, -0.024005, 0.049127, type=FemMarker, attach=pharynx
12, 0.146282, -0.023626, 0.041837, type=FemMarker, attach=pharynx
13, 0.148339, -0.023344, 0.033974, type=FemMarker, attach=pharynx
14, 0.149967, -0.022028, 0.029567, type=FemNode, attach=thyroid
15, 0.130329, -0.014931, 0.120407, type=FemMarker, attach=pharynx
16, 0.131081, -0.015486, 0.117977, type=FemMarker, attach=pharynx
17, 0.132157, -0.015894, 0.112671, type=FemMarker, attach=pharynx
18, 0.133149, -0.016911, 0.104964, type=FemMarker, attach=pharynx
19, 0.134099, -0.017764, 0.098436, type=FemMarker, attach=pharynx
20, 0.134989, -0.017884, 0.094260, type=FemMarker, attach=pharynx
21, 0.137218, -0.020202, 0.086212, type=FemMarker, attach=pharynx
22, 0.139127, -0.019158, 0.078222, type=FemMarker, attach=pharynx
23, 0.143146, -0.017279, 0.066623, type=FemMarker, attach=pharynx
24, 0.146913, -0.016738, 0.057758, type=FemMarker, attach=pharynx
25, 0.149480, -0.015648, 0.049432, type=FemMarker, attach=pharynx
26, 0.152119, -0.014403, 0.041743, type=FemMarker, attach=pharynx
27, 0.153165, -0.014404, 0.037333, type=FemMarker, attach=pharynx
28, 0.154237, -0.013775, 0.031828, type=FemMarker, attach=pharynx
29, 0.128386, -0.015692, 0.121564, type=FemMarker, attach=pharynx
30, 0.129988, -0.017042, 0.115526, type=FemMarker, attach=pharynx
31, 0.130725, -0.018032, 0.109662, type=FemMarker, attach=pharynx
32, 0.131205, -0.019251, 0.104207, type=FemMarker, attach=pharynx
33, 0.131807, -0.020373, 0.098782, type=FemMarker, attach=pharynx
34, 0.132599, -0.020911, 0.093508, type=FemMarker, attach=pharynx
35, 0.133366, -0.022496, 0.088050, type=FemMarker, attach=pharynx
36, 0.134659, -0.024669, 0.082142, type=FemMarker, attach=pharynx
37, 0.135962, -0.024301, 0.077376, type=FemMarker, attach=pharynx
38, 0.137930, -0.023287, 0.071273, type=FemMarker, attach=pharynx
39, 0.139873, -0.024605, 0.061490, type=FemMarker, attach=pharynx
40, 0.140618, -0.025045, 0.058120, type=FemMarker, attach=pharynx
41, 0.143019, -0.024702, 0.051987, type=FemMarker, attach=pharynx
42, 0.143944, -0.024337, 0.047697, type=FemMarker, attach=pharynx
43, 0.144496, -0.024123, 0.043623, type=FemMarker, attach=pharynx
44, 0.144979, -0.024651, 0.035969, type=FemNode, attach=thyroid
45, 0.129808, -0.015351, 0.120412, type=FemMarker, attach=pharynx
46, 0.131554, -0.016204, 0.113822, type=FemMarker, attach=pharynx
47, 0.132114, -0.016755, 0.109816, type=FemMarker, attach=pharynx
48, 0.132742, -0.017978, 0.103152, type=FemMarker, attach=pharynx
49, 0.133474, -0.018933, 0.097312, type=FemMarker, attach=pharynx
50, 0.134738, -0.019932, 0.091215, type=FemMarker, attach=pharynx
51, 0.136216, -0.022448, 0.085068, type=FemMarker, attach=pharynx
52, 0.137847, -0.022345, 0.078826, type=FemMarker, attach=pharynx
53, 0.139292, -0.021329, 0.072730, type=FemMarker, attach=pharynx
54, 0.144645, -0.021186, 0.061050, type=FemMarker, attach=pharynx
55, 0.147792, -0.020112, 0.051837, type=FemMarker, attach=pharynx
56, 0.150138, -0.019247, 0.043618, type=FemMarker, attach=pharynx
57, 0.151873, -0.019022, 0.037497, type=FemMarker, attach=pharynx
58, 0.152878, -0.018151, 0.030265, type=FemNode, attach=thyroid

connections
0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14
15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28
29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44
45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58

