# Description of *SuperiorConstrictor1_L* muscle bundle. Created on 2015.05.28_16:51:15 PDT. 

points
0, 0.137788, 0.000000, 0.134532, type=FemNode, attach=cranium
1, 0.138093, -0.000809, 0.131238, type=FemMarker, attach=pharynx
2, 0.138202, -0.001657, 0.129036, type=FemMarker, attach=pharynx
3, 0.138065, -0.002224, 0.127411, type=FemMarker, attach=pharynx
4, 0.137727, -0.003209, 0.125088, type=FemMarker, attach=pharynx
5, 0.137430, -0.003979, 0.123582, type=FemMarker, attach=pharynx
6, 0.137074, -0.004830, 0.122108, type=FemMarker, attach=pharynx
7, 0.136751, -0.005809, 0.120904, type=FemMarker, attach=pharynx
8, 0.136131, -0.007408, 0.120482, type=FemMarker, attach=pharynx
9, 0.135421, -0.008930, 0.120194, type=FemMarker, attach=pharynx
10, 0.134573, -0.010427, 0.120263, type=FemMarker, attach=pharynx
11, 0.133535, -0.011806, 0.120524, type=FemMarker, attach=pharynx
12, 0.132391, -0.013247, 0.120800, type=FemMarker, attach=pharynx
13, 0.131217, -0.014565, 0.121066, type=FemMarker, attach=pharynx
14, 0.129916, -0.015716, 0.121373, type=FemMarker, attach=pharynx
15, 0.128384, -0.016649, 0.121749, type=FemMarker, attach=pharynx
16, 0.126623, -0.017207, 0.122190, type=FemMarker, attach=pharynx
17, 0.124868, -0.017320, 0.122643, type=FemMarker, attach=pharynx
18, 0.123014, -0.017011, 0.123139, type=FemMarker, attach=pharynx
19, 0.120544, -0.016124, 0.123773, type=FemMarker, attach=pharynx
20, 0.118444, -0.015702, 0.124291, type=FemMarker, attach=pharynx
21, 0.116686, -0.014924, 0.124529, type=FemMarker, attach=pharynx
22, 0.114963, -0.013995, 0.124802, type=FemMarker, attach=pharynx
23, 0.112876, -0.013022, 0.125162, type=FemMarker, attach=pharynx
24, 0.110842, -0.011925, 0.125306, type=FemMarker, attach=pharynx
25, 0.138384, -0.000000, 0.129387, type=FemMarker, attach=pharynx
26, 0.138364, -0.001102, 0.127805, type=FemMarker, attach=pharynx
27, 0.138239, -0.002057, 0.126200, type=FemMarker, attach=pharynx
28, 0.138093, -0.002752, 0.124738, type=FemMarker, attach=pharynx
29, 0.137877, -0.003519, 0.123281, type=FemMarker, attach=pharynx
30, 0.137589, -0.004347, 0.121860, type=FemMarker, attach=pharynx
31, 0.137228, -0.005276, 0.120504, type=FemMarker, attach=pharynx
32, 0.136464, -0.006922, 0.119660, type=FemMarker, attach=pharynx
33, 0.135892, -0.008383, 0.119215, type=FemMarker, attach=pharynx
34, 0.135111, -0.009897, 0.119114, type=FemMarker, attach=pharynx
35, 0.134155, -0.011401, 0.119331, type=FemMarker, attach=pharynx
36, 0.133084, -0.012841, 0.119637, type=FemMarker, attach=pharynx
37, 0.131918, -0.014161, 0.119901, type=FemMarker, attach=pharynx
38, 0.129922, -0.015952, 0.120382, type=FemMarker, attach=pharynx
39, 0.127489, -0.017153, 0.121008, type=FemMarker, attach=pharynx
40, 0.125678, -0.017449, 0.121489, type=FemMarker, attach=pharynx
41, 0.123839, -0.017324, 0.121994, type=FemMarker, attach=pharynx
42, 0.121730, -0.016838, 0.122611, type=FemMarker, attach=pharynx
43, 0.119489, -0.015783, 0.123194, type=FemMarker, attach=pharynx
44, 0.117039, -0.014616, 0.123572, type=FemMarker, attach=pharynx
45, 0.114751, -0.013776, 0.123840, type=FemMarker, attach=pharynx
46, 0.112554, -0.013050, 0.124053, type=FemMarker, attach=pharynx
47, 0.111041, -0.012629, 0.124310, type=FemMarker, attach=pharynx
48, 0.138207, -0.000000, 0.125072, type=FemMarker, attach=pharynx
49, 0.138265, -0.002143, 0.122895, type=FemMarker, attach=pharynx
50, 0.138108, -0.003270, 0.121456, type=FemMarker, attach=pharynx
51, 0.137570, -0.005000, 0.119418, type=FemMarker, attach=pharynx
52, 0.136526, -0.007137, 0.118533, type=FemMarker, attach=pharynx
53, 0.135582, -0.009408, 0.118017, type=FemMarker, attach=pharynx
54, 0.134243, -0.011685, 0.118248, type=FemMarker, attach=pharynx
55, 0.132523, -0.013835, 0.118717, type=FemMarker, attach=pharynx
56, 0.131280, -0.015118, 0.119020, type=FemMarker, attach=pharynx
57, 0.129101, -0.016699, 0.119577, type=FemMarker, attach=pharynx
58, 0.127417, -0.017370, 0.120027, type=FemMarker, attach=pharynx
59, 0.125574, -0.017643, 0.120528, type=FemMarker, attach=pharynx
60, 0.121839, -0.017011, 0.121575, type=FemMarker, attach=pharynx
61, 0.119213, -0.015951, 0.122187, type=FemMarker, attach=pharynx
62, 0.116655, -0.014905, 0.122675, type=FemMarker, attach=pharynx
63, 0.114135, -0.013676, 0.123067, type=FemMarker, attach=pharynx
64, 0.111323, -0.013331, 0.123383, type=FemMarker, attach=pharynx
65, 0.138003, 0.000000, 0.120797, type=FemMarker, attach=pharynx
66, 0.137957, -0.000006, 0.120693, type=FemMarker, attach=pharynx
67, 0.138142, -0.001937, 0.118954, type=FemMarker, attach=pharynx
68, 0.138102, -0.003499, 0.117728, type=FemMarker, attach=pharynx
69, 0.136664, -0.007449, 0.116873, type=FemMarker, attach=pharynx
70, 0.135668, -0.009713, 0.116386, type=FemMarker, attach=pharynx
71, 0.134819, -0.011278, 0.116490, type=FemMarker, attach=pharynx
72, 0.133814, -0.012791, 0.116817, type=FemMarker, attach=pharynx
73, 0.132612, -0.014261, 0.117156, type=FemMarker, attach=pharynx
74, 0.131331, -0.015538, 0.117483, type=FemMarker, attach=pharynx
75, 0.129920, -0.016615, 0.117852, type=FemMarker, attach=pharynx
76, 0.128281, -0.017456, 0.118288, type=FemMarker, attach=pharynx
77, 0.125512, -0.018011, 0.119025, type=FemMarker, attach=pharynx
78, 0.123603, -0.017884, 0.119531, type=FemMarker, attach=pharynx
79, 0.120806, -0.017112, 0.120269, type=FemMarker, attach=pharynx
80, 0.117167, -0.015617, 0.121174, type=FemMarker, attach=pharynx
81, 0.114025, -0.014548, 0.121822, type=FemMarker, attach=pharynx
82, 0.111548, -0.013703, 0.122234, type=FemMarker, attach=pharynx
83, 0.137962, 0.000000, 0.115597, type=FemMarker, attach=pharynx
84, 0.138070, -0.002474, 0.115673, type=FemMarker, attach=pharynx
85, 0.138007, -0.004093, 0.115244, type=FemMarker, attach=pharynx
86, 0.137708, -0.005450, 0.115320, type=FemMarker, attach=pharynx
87, 0.136768, -0.007732, 0.115202, type=FemMarker, attach=pharynx
88, 0.135756, -0.010011, 0.114744, type=FemMarker, attach=pharynx
89, 0.134928, -0.011616, 0.114855, type=FemMarker, attach=pharynx
90, 0.133941, -0.013179, 0.115185, type=FemMarker, attach=pharynx
91, 0.132744, -0.014684, 0.115531, type=FemMarker, attach=pharynx
92, 0.131453, -0.015969, 0.115862, type=FemMarker, attach=pharynx
93, 0.130032, -0.017048, 0.116230, type=FemMarker, attach=pharynx
94, 0.128391, -0.017890, 0.116656, type=FemMarker, attach=pharynx
95, 0.125632, -0.018471, 0.117360, type=FemMarker, attach=pharynx
96, 0.123728, -0.018379, 0.117836, type=FemMarker, attach=pharynx
97, 0.121824, -0.017957, 0.118308, type=FemMarker, attach=pharynx
98, 0.120010, -0.017352, 0.118752, type=FemMarker, attach=pharynx
99, 0.118212, -0.016654, 0.119178, type=FemMarker, attach=pharynx
100, 0.116412, -0.015924, 0.119586, type=FemMarker, attach=pharynx
101, 0.114419, -0.016330, 0.120259, type=FemMarker, attach=pharynx
102, 0.112180, -0.014875, 0.120710, type=FemMarker, attach=pharynx
103, 0.138060, 0.000000, 0.112747, type=FemMarker, attach=pharynx
104, 0.138076, -0.002360, 0.112983, type=FemMarker, attach=pharynx
105, 0.138021, -0.003836, 0.113329, type=FemMarker, attach=pharynx
106, 0.137832, -0.005164, 0.113496, type=FemMarker, attach=pharynx
107, 0.137550, -0.006181, 0.113571, type=FemMarker, attach=pharynx
108, 0.136847, -0.007987, 0.113591, type=FemMarker, attach=pharynx
109, 0.136235, -0.009479, 0.113235, type=FemMarker, attach=pharynx
110, 0.135501, -0.011085, 0.113191, type=FemMarker, attach=pharynx
111, 0.134588, -0.012757, 0.113451, type=FemMarker, attach=pharynx
112, 0.133507, -0.014320, 0.113809, type=FemMarker, attach=pharynx
113, 0.132299, -0.015699, 0.114143, type=FemMarker, attach=pharynx
114, 0.130925, -0.016920, 0.114505, type=FemMarker, attach=pharynx
115, 0.129365, -0.017924, 0.114915, type=FemMarker, attach=pharynx
116, 0.127674, -0.018594, 0.115351, type=FemMarker, attach=pharynx
117, 0.125836, -0.018907, 0.115813, type=FemMarker, attach=pharynx
118, 0.124910, -0.018926, 0.116041, type=FemMarker, attach=pharynx
119, 0.122960, -0.018688, 0.116515, type=FemMarker, attach=pharynx
120, 0.121198, -0.018223, 0.116941, type=FemMarker, attach=pharynx
121, 0.120291, -0.017923, 0.117161, type=FemMarker, attach=pharynx
122, 0.118571, -0.017122, 0.117793, type=FemMarker, attach=pharynx
123, 0.116588, -0.017232, 0.118369, type=FemMarker, attach=pharynx
124, 0.114517, -0.016822, 0.119068, type=FemMarker, attach=pharynx
125, 0.112204, -0.015882, 0.119585, type=FemMarker, attach=pharynx

connections
0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24
25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47
48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64
65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82
83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102
103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125

