# Description of *SuperiorConstrictor1_R* muscle bundle. Created on 2015.09.23_17:07:45 PDT. 

points
0, 0.137788, 0.000000, 0.134532, type=FemNode, attach=cranium
1, 0.138289, 0.000815, 0.130935, type=FemMarker, attach=pharynx
2, 0.138234, 0.001515, 0.128926, type=FemMarker, attach=pharynx
3, 0.138114, 0.002632, 0.126063, type=FemMarker, attach=pharynx
4, 0.138080, 0.004077, 0.123392, type=FemMarker, attach=pharynx
5, 0.137868, 0.005880, 0.121030, type=FemMarker, attach=pharynx
6, 0.137064, 0.008361, 0.119586, type=FemMarker, attach=pharynx
7, 0.135967, 0.010860, 0.118620, type=FemMarker, attach=pharynx
8, 0.134459, 0.013395, 0.118158, type=FemMarker, attach=pharynx
9, 0.132672, 0.015697, 0.117787, type=FemMarker, attach=pharynx
10, 0.130473, 0.017629, 0.117663, type=FemMarker, attach=pharynx
11, 0.127960, 0.018937, 0.117487, type=FemMarker, attach=pharynx
12, 0.125105, 0.019420, 0.117495, type=FemMarker, attach=pharynx
13, 0.122146, 0.019248, 0.117488, type=FemMarker, attach=pharynx
14, 0.119254, 0.018787, 0.117191, type=FemMarker, attach=pharynx
15, 0.116360, 0.018237, 0.116830, type=FemMarker, attach=pharynx
16, 0.113962, 0.017714, 0.116506, type=FemNode, attach=cranium
17, 0.138710, -0.000005, 0.120913, type=FemMarker, attach=pharynx
18, 0.138796, 0.002253, 0.118998, type=FemMarker, attach=pharynx
19, 0.138552, 0.004475, 0.117058, type=FemMarker, attach=pharynx
20, 0.137916, 0.007102, 0.115949, type=FemMarker, attach=pharynx
21, 0.136997, 0.009764, 0.115004, type=FemMarker, attach=pharynx
22, 0.135734, 0.012424, 0.114673, type=FemMarker, attach=pharynx
23, 0.134163, 0.014903, 0.114476, type=FemMarker, attach=pharynx
24, 0.132202, 0.017115, 0.114445, type=FemMarker, attach=pharynx
25, 0.130027, 0.018736, 0.114554, type=FemMarker, attach=pharynx
26, 0.127233, 0.019819, 0.114665, type=FemMarker, attach=pharynx
27, 0.124334, 0.020111, 0.114981, type=FemMarker, attach=pharynx
28, 0.121425, 0.019941, 0.115011, type=FemMarker, attach=pharynx
29, 0.118493, 0.019482, 0.114955, type=FemMarker, attach=pharynx
30, 0.115579, 0.018828, 0.114960, type=FemMarker, attach=pharynx
31, 0.113718, 0.018358, 0.114937, type=FemNode, attach=cranium
32, 0.138823, 0.000015, 0.112669, type=FemMarker, attach=pharynx
33, 0.138688, 0.002819, 0.111713, type=FemMarker, attach=pharynx
34, 0.138346, 0.005633, 0.110865, type=FemMarker, attach=pharynx
35, 0.137721, 0.008477, 0.110594, type=FemMarker, attach=pharynx
36, 0.136766, 0.011277, 0.110411, type=FemMarker, attach=pharynx
37, 0.135499, 0.013940, 0.110258, type=FemMarker, attach=pharynx
38, 0.133831, 0.016320, 0.110665, type=FemMarker, attach=pharynx
39, 0.131769, 0.018384, 0.111003, type=FemMarker, attach=pharynx
40, 0.129356, 0.019849, 0.111417, type=FemMarker, attach=pharynx
41, 0.126641, 0.020674, 0.111797, type=FemMarker, attach=pharynx
42, 0.123747, 0.020913, 0.112195, type=FemMarker, attach=pharynx
43, 0.120867, 0.020665, 0.112637, type=FemMarker, attach=pharynx
44, 0.117979, 0.020117, 0.112965, type=FemMarker, attach=pharynx
45, 0.115075, 0.019438, 0.113119, type=FemMarker, attach=pharynx
46, 0.113577, 0.019085, 0.113133, type=FemNode, attach=cranium

connections
0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16
17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31
32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46

