# Description of *SuperiorConstrictor3_L* muscle bundle. Created on 2015.05.28_16:51:15 PDT. 

points
0, 0.139695, 0.000000, 0.093553, type=FemMarker, attach=pharynx
1, 0.139613, -0.002663, 0.093050, type=FemMarker, attach=pharynx
2, 0.139515, -0.003950, 0.092773, type=FemMarker, attach=pharynx
3, 0.139382, -0.005255, 0.092523, type=FemMarker, attach=pharynx
4, 0.139118, -0.007217, 0.092191, type=FemMarker, attach=pharynx
5, 0.138757, -0.009271, 0.091890, type=FemMarker, attach=pharynx
6, 0.138228, -0.011517, 0.091676, type=FemMarker, attach=pharynx
7, 0.137543, -0.013797, 0.091665, type=FemMarker, attach=pharynx
8, 0.136830, -0.015745, 0.091789, type=FemMarker, attach=pharynx
9, 0.135705, -0.018150, 0.092090, type=FemMarker, attach=pharynx
10, 0.134122, -0.020559, 0.092489, type=FemMarker, attach=pharynx
11, 0.132100, -0.022812, 0.092987, type=FemMarker, attach=pharynx
12, 0.129955, -0.024691, 0.093487, type=FemMarker, attach=pharynx
13, 0.127622, -0.026270, 0.094065, type=FemMarker, attach=pharynx
14, 0.125337, -0.027396, 0.094659, type=FemMarker, attach=pharynx
15, 0.123124, -0.027827, 0.095370, type=FemMarker, attach=pharynx
16, 0.120732, -0.027119, 0.095587, type=FemMarker, attach=pharynx
17, 0.118426, -0.026833, 0.095830, type=FemMarker, attach=pharynx
18, 0.115523, -0.026000, 0.095762, type=FemMarker, attach=pharynx
19, 0.113958, -0.025830, 0.096085, type=FemMarker, attach=pharynx
20, 0.112315, -0.025129, 0.096092, type=FemMarker, attach=pharynx
21, 0.140146, 0.000000, 0.090075, type=FemMarker, attach=pharynx
22, 0.140013, -0.002822, 0.089740, type=FemMarker, attach=pharynx
23, 0.139874, -0.004165, 0.089574, type=FemMarker, attach=pharynx
24, 0.139596, -0.006180, 0.089378, type=FemMarker, attach=pharynx
25, 0.139368, -0.007533, 0.089268, type=FemMarker, attach=pharynx
26, 0.138957, -0.009605, 0.089125, type=FemMarker, attach=pharynx
