# Description of *Hyoglossus_L* muscle bundle. Created on 2015.05.28_16:51:15 PDT. 

points
0, 0.116284, -0.017005, 0.108140, type=FemMarker, attach=tongue
1, 0.126055, -0.019467, 0.096218, type=FemMarker, attach=tongue
2, 0.129453, -0.020336, 0.089558, type=FemMarker, attach=tongue
3, 0.131464, -0.021610, 0.080824, type=FemMarker, attach=tongue
4, 0.132645, -0.021492, 0.071286, type=FemMarker, attach=tongue
5, 0.132989, -0.020492, 0.065367, type=FemMarker, attach=tongue
6, 0.112586, -0.021622, 0.104283, type=FemMarker, attach=tongue
7, 0.118331, -0.022416, 0.092736, type=FemMarker, attach=tongue
8, 0.121838, -0.023312, 0.086953, type=FemMarker, attach=tongue
9, 0.123895, -0.023113, 0.079379, type=FemMarker, attach=tongue
10, 0.126222, -0.022173, 0.071042, type=FemMarker, attach=tongue
11, 0.127331, -0.018974, 0.062095, type=FemMarker, attach=tongue
12, 0.107703, -0.022257, 0.098449, type=FemMarker, attach=tongue
13, 0.112115, -0.021724, 0.091042, type=FemMarker, attach=tongue
14, 0.115763, -0.022572, 0.085778, type=FemMarker, attach=tongue
15, 0.116836, -0.021877, 0.080228, type=FemMarker, attach=tongue
16, 0.118717, -0.020901, 0.071818, type=FemMarker, attach=tongue
17, 0.120863, -0.015562, 0.062043, type=FemMarker, attach=tongue
18, 0.103125, -0.018236, 0.092654, type=FemMarker, attach=tongue
19, 0.107128, -0.017455, 0.086765, type=FemMarker, attach=tongue
20, 0.108633, -0.017858, 0.083946, type=FemMarker, attach=tongue
21, 0.110842, -0.018167, 0.079505, type=FemMarker, attach=tongue
22, 0.113505, -0.018139, 0.071835, type=FemMarker, attach=tongue
23, 0.115709, -0.013349, 0.062599, type=FemMarker, attach=tongue
24, 0.098842, -0.011037, 0.087618, type=FemMarker, attach=tongue
25, 0.103321, -0.012235, 0.082960, type=FemMarker, attach=tongue
26, 0.104629, -0.012708, 0.080399, type=FemMarker, attach=tongue
27, 0.106201, -0.013365, 0.076802, type=FemMarker, attach=tongue
28, 0.108130, -0.013933, 0.070915, type=FemMarker, attach=tongue
29, 0.111292, -0.008367, 0.062483, type=FemMarker, attach=tongue
30, 0.114189, -0.015670, 0.102996, type=FemMarker, attach=tongue
31, 0.122389, -0.017737, 0.093421, type=FemMarker, attach=tongue
32, 0.127074, -0.016493, 0.087133, type=FemMarker, attach=tongue
33, 0.130234, -0.017799, 0.078696, type=FemMarker, attach=tongue
34, 0.130662, -0.018507, 0.069073, type=FemMarker, attach=tongue
35, 0.131138, -0.017894, 0.064340, type=FemMarker, attach=tongue
36, 0.112238, -0.016610, 0.100989, type=FemMarker, attach=tongue
37, 0.116983, -0.017375, 0.091881, type=FemMarker, attach=tongue
38, 0.120246, -0.016751, 0.085193, type=FemMarker, attach=tongue
39, 0.123535, -0.017488, 0.077532, type=FemMarker, attach=tongue
40, 0.124802, -0.017573, 0.069060, type=FemMarker, attach=tongue
41, 0.126249, -0.016850, 0.062863, type=FemMarker, attach=tongue
42, 0.107087, -0.016588, 0.098179, type=FemMarker, attach=tongue
43, 0.111544, -0.015592, 0.088962, type=FemMarker, attach=tongue
44, 0.114447, -0.015597, 0.084206, type=FemMarker, attach=tongue
45, 0.116769, -0.016567, 0.077468, type=FemMarker, attach=tongue
46, 0.118862, -0.016213, 0.069823, type=FemMarker, attach=tongue
47, 0.119998, -0.013552, 0.063276, type=FemMarker, attach=tongue
48, 0.103006, -0.013339, 0.093922, type=FemMarker, attach=tongue
49, 0.108525, -0.013426, 0.086233, type=FemMarker, attach=tongue
50, 0.109767, -0.013744, 0.083905, type=FemMarker, attach=tongue
51, 0.111429, -0.013596, 0.077709, type=FemMarker, attach=tongue
52, 0.113081, -0.013584, 0.071244, type=FemMarker, attach=tongue
53, 0.114079, -0.010723, 0.065356, type=FemMarker, attach=tongue
54, 0.101138, -0.010557, 0.090546, type=FemMarker, attach=tongue
55, 0.106790, -0.011368, 0.085092, type=FemMarker, attach=tongue
56, 0.107801, -0.011774, 0.081889, type=FemMarker, attach=tongue
57, 0.109451, -0.011649, 0.077698, type=FemMarker, attach=tongue
58, 0.110715, -0.012567, 0.070943, type=FemMarker, attach=tongue
59, 0.113399, -0.008781, 0.063908, type=FemMarker, attach=tongue

connections
0, 1, 2, 3, 4, 5
6, 7, 8, 9, 10, 11
12, 13, 14, 15, 16, 17
18, 19, 20, 21, 22, 23
24, 25, 26, 27, 28, 29
30, 31, 32, 33, 34, 35
36, 37, 38, 39, 40, 41
42, 43, 44, 45, 46, 47
48, 49, 50, 51, 52, 53
54, 55, 56, 57, 58, 59

