# Description of *InferiorLongitudinal_L* muscle bundle. Created on 2015.05.28_16:51:15 PDT. 

points
0, 0.062279, -0.005217, 0.095668, type=FemMarker, attach=tongue
1, 0.068588, -0.006384, 0.093405, type=FemMarker, attach=tongue
2, 0.073900, -0.008298, 0.092947, type=FemMarker, attach=tongue
3, 0.082822, -0.009698, 0.091510, type=FemMarker, attach=tongue
4, 0.092292, -0.010253, 0.091442, type=FemMarker, attach=tongue
5, 0.101138, -0.010557, 0.090546, type=FemMarker, attach=tongue
6, 0.106790, -0.011368, 0.085092, type=FemMarker, attach=tongue
7, 0.107801, -0.011774, 0.081889, type=FemMarker, attach=tongue
8, 0.109451, -0.011649, 0.077698, type=FemMarker, attach=tongue
9, 0.110715, -0.012567, 0.070943, type=FemMarker, attach=tongue
10, 0.114390, -0.012435, 0.070747, type=FemMarker, attach=tongue
11, 0.118208, -0.013291, 0.070141, type=FemMarker, attach=tongue
12, 0.123537, -0.014723, 0.069902, type=FemMarker, attach=tongue
13, 0.130662, -0.018507, 0.069073, type=FemMarker, attach=tongue
14, 0.059024, -0.005932, 0.095639, type=FemMarker, attach=tongue
15, 0.065563, -0.006003, 0.093328, type=FemMarker, attach=tongue
16, 0.076164, -0.008525, 0.089423, type=FemMarker, attach=tongue
17, 0.084343, -0.008902, 0.087542, type=FemMarker, attach=tongue
18, 0.090906, -0.009773, 0.087758, type=FemMarker, attach=tongue
19, 0.098842, -0.011037, 0.087618, type=FemMarker, attach=tongue
20, 0.103321, -0.012235, 0.082960, type=FemMarker, attach=tongue
21, 0.104629, -0.012708, 0.080399, type=FemMarker, attach=tongue
22, 0.106201, -0.013365, 0.076802, type=FemMarker, attach=tongue
23, 0.108130, -0.013933, 0.070915, type=FemMarker, attach=tongue
24, 0.111292, -0.008367, 0.062483, type=FemMarker, attach=tongue
25, 0.113399, -0.008781, 0.063908, type=FemMarker, attach=tongue
26, 0.114505, -0.008686, 0.063109, type=FemMarker, attach=tongue
27, 0.117334, -0.009544, 0.063452, type=FemMarker, attach=tongue
28, 0.122586, -0.012901, 0.062984, type=FemMarker, attach=tongue
29, 0.131138, -0.017894, 0.064340, type=FemMarker, attach=tongue
30, 0.062215, -0.002496, 0.095753, type=FemMarker, attach=tongue
31, 0.068222, -0.003829, 0.092526, type=FemMarker, attach=tongue
32, 0.075304, -0.004123, 0.090579, type=FemMarker, attach=tongue
33, 0.082925, -0.004841, 0.090046, type=FemMarker, attach=tongue
34, 0.091560, -0.005821, 0.091939, type=FemMarker, attach=tongue
35, 0.099913, -0.006233, 0.090025, type=FemMarker, attach=tongue
36, 0.105777, -0.006494, 0.085439, type=FemMarker, attach=tongue
37, 0.107785, -0.007579, 0.078879, type=FemMarker, attach=tongue
38, 0.108487, -0.007213, 0.073464, type=FemMarker, attach=tongue
39, 0.109567, -0.007238, 0.068538, type=FemMarker, attach=tongue
40, 0.112722, -0.007458, 0.068681, type=FemMarker, attach=tongue
41, 0.116606, -0.008058, 0.069191, type=FemMarker, attach=tongue
42, 0.121605, -0.008553, 0.070038, type=FemMarker, attach=tongue
43, 0.126525, -0.009490, 0.070614, type=FemMarker, attach=tongue
44, 0.058948, -0.002729, 0.095165, type=FemMarker, attach=tongue
45, 0.066198, -0.003219, 0.092307, type=FemMarker, attach=tongue
46, 0.076879, -0.003941, 0.086590, type=FemMarker, attach=tongue
47, 0.083367, -0.005199, 0.086235, type=FemMarker, attach=tongue
48, 0.090255, -0.005718, 0.086436, type=FemMarker, attach=tongue
49, 0.097083, -0.006288, 0.086401, type=FemMarker, attach=tongue
50, 0.101048, -0.006805, 0.082559, type=FemMarker, attach=tongue
51, 0.103225, -0.007116, 0.077644, type=FemMarker, attach=tongue
52, 0.105048, -0.006959, 0.073013, type=FemMarker, attach=tongue
53, 0.106296, -0.006698, 0.068644, type=FemMarker, attach=tongue
54, 0.110298, -0.005617, 0.062194, type=FemMarker, attach=tongue
55, 0.111069, -0.006128, 0.062617, type=FemMarker, attach=tongue
56, 0.113231, -0.006652, 0.062882, type=FemMarker, attach=tongue
57, 0.115990, -0.007215, 0.063106, type=FemMarker, attach=tongue
58, 0.120560, -0.008090, 0.063015, type=FemMarker, attach=tongue
59, 0.124843, -0.009077, 0.062930, type=FemMarker, attach=tongue

connections
0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13
14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29
30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43
44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59

