"task","marker4_xp116_yp16_zp110","marker24_xp42_yp0_zp100","marker4_x_initial","marker24_x_initial","marker4_x_final","marker24_x_final","marker4_dx","marker24_dx","initial_dist_x","final_dist_x","change_dist_x","condition"
1,119.227,69.824,114.822,60.032,119.227,69.824,4.405,9.792,54.79,49.403,-5.387,"bones_deactivated"
2,122.804,82.871,114.822,60.032,122.804,82.871,7.982,22.839,54.79,39.933,-14.857,"bones_deactivated"
3,125.359,82.862,114.822,60.032,125.359,82.862,10.537,22.83,54.79,42.497,-12.293,"bones_deactivated"
4,111.203,57.681,114.822,60.032,111.203,57.681,-3.619,-2.351,54.79,53.522,-1.268,"bones_deactivated"
5,115.01,67.07,114.822,60.032,115.01,67.07,0.188000000000002,7.038,54.79,47.94,-6.84999999999999,"bones_deactivated"
6,117.837,74.349,114.822,60.032,117.837,74.349,3.015,14.317,54.79,43.488,-11.302,"bones_deactivated"
7,120.421,74.766,114.822,60.032,120.421,74.766,5.599,14.734,54.79,45.655,-9.13500000000001,"bones_deactivated"
8,114.238,56.933,114.822,60.032,114.238,56.933,-0.584000000000003,-3.099,54.79,57.305,2.51499999999999,"bones_deactivated"
9,117.661,64.605,114.822,60.032,117.661,64.605,2.839,4.57300000000001,54.79,53.056,-1.73400000000001,"bones_deactivated"
10,118.883,72.83,114.822,60.032,118.883,72.83,4.06099999999999,12.798,54.79,46.053,-8.73700000000001,"bones_deactivated"
11,121.3,72.39,114.822,60.032,121.3,72.39,6.47799999999999,12.358,54.79,48.91,-5.88000000000001,"bones_deactivated"
12,112.326,56.074,114.822,60.032,112.326,56.074,-2.49600000000001,-3.958,54.79,56.252,1.46199999999999,"bones_deactivated"
13,115.586,63.275,114.822,60.032,115.586,63.275,0.763999999999996,3.243,54.79,52.311,-2.47900000000001,"bones_deactivated"
14,116.259,68.233,114.822,60.032,116.259,68.233,1.437,8.20100000000001,54.79,48.026,-6.76400000000001,"bones_deactivated"
15,118.52,68.302,114.822,60.032,118.52,68.302,3.69799999999999,8.27000000000001,54.79,50.218,-4.57200000000002,"bones_deactivated"
16,129.765,76.53,114.822,60.032,129.765,76.53,14.943,16.498,54.79,53.235,-1.55500000000002,"bones_deactivated"
17,131.415,78.92,114.822,60.032,131.415,78.92,16.593,18.888,54.79,52.495,-2.29500000000002,"bones_deactivated"
18,134.113,98.351,114.822,60.032,134.113,98.351,19.291,38.319,54.79,35.762,-19.028,"bones_deactivated"
19,135.183,95.699,114.822,60.032,135.183,95.699,20.361,35.667,54.79,39.484,-15.306,"bones_deactivated"
20,126.408,72.346,114.822,60.032,126.408,72.346,11.586,12.314,54.79,54.062,-0.728000000000009,"bones_deactivated"
21,128.017,75.143,114.822,60.032,128.017,75.143,13.195,15.111,54.79,52.874,-1.91600000000001,"bones_deactivated"
22,130.025,91.203,114.822,60.032,130.025,91.203,15.203,31.171,54.79,38.822,-15.968,"bones_deactivated"
23,131.223,88.763,114.822,60.032,131.223,88.763,16.401,28.731,54.79,42.46,-12.33,"bones_deactivated"
24,128.074,71.172,114.822,60.032,128.074,71.172,13.252,11.14,54.79,56.902,2.11200000000001,"bones_deactivated"
25,129.519,72.851,114.822,60.032,129.519,72.851,14.697,12.819,54.79,56.668,1.878,"bones_deactivated"
26,130.306,89.241,114.822,60.032,130.306,89.241,15.484,29.209,54.79,41.065,-13.725,"bones_deactivated"
27,131.551,86.336,114.822,60.032,131.551,86.336,16.729,26.304,54.79,45.215,-9.57500000000002,"bones_deactivated"
28,125.916,69.038,114.822,60.032,125.916,69.038,11.094,9.006,54.79,56.878,2.08799999999999,"bones_deactivated"
29,127.328,70.974,114.822,60.032,127.328,70.974,12.506,10.942,54.79,56.354,1.56399999999999,"bones_deactivated"
30,128.019,84.55,114.822,60.032,128.019,84.55,13.197,24.518,54.79,43.469,-11.321,"bones_deactivated"
31,129.25,82.086,114.822,60.032,129.25,82.086,14.428,22.054,54.79,47.164,-7.626,"bones_deactivated"
32,112.818,58.022,114.822,60.032,112.818,58.022,-2.004,-2.01,54.79,54.796,0.00599999999999312,"bones_deactivated"
33,117.685,67.947,114.822,60.032,117.685,67.947,2.863,7.91500000000001,54.79,49.738,-5.05200000000001,"bones_deactivated"
34,122.127,82.038,114.822,60.032,122.127,82.038,7.30499999999999,22.006,54.79,40.089,-14.701,"bones_deactivated"
35,124.535,82.072,114.822,60.032,124.535,82.072,9.71299999999999,22.04,54.79,42.463,-12.327,"bones_deactivated"
36,110.052,56.352,114.822,60.032,110.052,56.352,-4.77,-3.68,54.79,53.7,-1.09,"bones_deactivated"
37,114.122,65.412,114.822,60.032,114.122,65.412,-0.700000000000003,5.38000000000001,54.79,48.71,-6.08000000000001,"bones_deactivated"
38,117.423,73.909,114.822,60.032,117.423,73.909,2.601,13.877,54.79,43.514,-11.276,"bones_deactivated"
39,119.974,74.426,114.822,60.032,119.974,74.426,5.152,14.394,54.79,45.548,-9.242,"bones_deactivated"
40,113.433,56.098,114.822,60.032,113.433,56.098,-1.389,-3.934,54.79,57.335,2.545,"bones_deactivated"
41,116.713,63.267,114.822,60.032,116.713,63.267,1.89099999999999,3.23500000000001,54.79,53.446,-1.34400000000002,"bones_deactivated"
42,119.132,72.864,114.822,60.032,119.132,72.864,4.31,12.832,54.79,46.268,-8.52200000000001,"bones_deactivated"
43,121.513,72.596,114.822,60.032,121.513,72.596,6.691,12.564,54.79,48.917,-5.873,"bones_deactivated"
44,111.781,55.44,114.822,60.032,111.781,55.44,-3.041,-4.592,54.79,56.341,1.551,"bones_deactivated"
45,114.815,62.011,114.822,60.032,114.815,62.011,-0.007000000000005,1.97900000000001,54.79,52.804,-1.98600000000001,"bones_deactivated"
46,116.642,68.516,114.822,60.032,116.642,68.516,1.81999999999999,8.48400000000001,54.79,48.126,-6.66400000000002,"bones_deactivated"
47,118.946,68.726,114.822,60.032,118.946,68.726,4.124,8.694,54.79,50.22,-4.57000000000001,"bones_deactivated"
48,129.729,76.622,114.822,60.032,129.729,76.622,14.907,16.59,54.79,53.107,-1.68299999999999,"bones_deactivated"
49,130.978,78.547,114.822,60.032,130.978,78.547,16.156,18.515,54.79,52.431,-2.35899999999999,"bones_deactivated"
51,134.792,95.37,114.822,60.032,134.792,95.37,19.97,35.338,54.79,39.422,-15.368,"bones_deactivated"
52,125.878,72.054,114.822,60.032,125.878,72.054,11.056,12.022,54.79,53.824,-0.966000000000008,"bones_deactivated"
53,127.169,74.448,114.822,60.032,127.169,74.448,12.347,14.416,54.79,52.721,-2.069,"bones_deactivated"
54,129.717,90.75,114.822,60.032,129.717,90.75,14.895,30.718,54.79,38.967,-15.823,"bones_deactivated"
55,130.547,88.145,114.822,60.032,130.547,88.145,15.725,28.113,54.79,42.402,-12.388,"bones_deactivated"
56,128.169,71.401,114.822,60.032,128.169,71.401,13.347,11.369,54.79,56.768,1.97800000000001,"bones_deactivated"
57,129.278,72.679,114.822,60.032,129.278,72.679,14.456,12.647,54.79,56.599,1.80899999999998,"bones_deactivated"
58,130.562,89.264,114.822,60.032,130.562,89.264,15.74,29.232,54.79,41.298,-13.492,"bones_deactivated"
59,131.43,86.21,114.822,60.032,131.43,86.21,16.608,26.178,54.79,45.22,-9.56999999999999,"bones_deactivated"
60,125.788,69.072,114.822,60.032,125.788,69.072,10.966,9.04000000000001,54.79,56.716,1.92599999999999,"bones_deactivated"
61,126.907,70.629,114.822,60.032,126.907,70.629,12.085,10.597,54.79,56.278,1.48799999999999,"bones_deactivated"
62,128.019,84.309,114.822,60.032,128.019,84.309,13.197,24.277,54.79,43.71,-11.08,"bones_deactivated"
63,128.948,81.788,114.822,60.032,128.948,81.788,14.126,21.756,54.79,47.16,-7.63,"bones_deactivated"
64,131.936,77.439,114.822,60.032,131.936,77.439,17.114,17.407,54.79,54.497,-0.292999999999992,"bones_deactivated"
