"task","bones_activated","bones_deactivated","diff_activated_minus_deactivated"
805,-8.29299999999999,-14.043,5.75000000000001
773,-7.26500000000001,-12.676,5.41100000000001
549,-8.40599999999999,-12.879,4.47300000000002
809,-4.37899999999999,-8.827,4.44800000000001
517,-7.335,-11.751,4.416
557,-2.59399999999999,-6.699,4.10500000000001
769,-9.999,-14.102,4.103
521,-2.035,-5.73800000000001,3.70300000000001
169,0.419000000000004,-3.18000000000001,3.59900000000001
553,-3.438,-6.86600000000001,3.428
129,-1.73500000000001,-4.95200000000001,3.21700000000001
269,-0.827000000000005,-4.00800000000001,3.181
545,-11.354,-13.973,2.61900000000001
513,-9.968,-12.482,2.51400000000002
428,-0.125999999999998,-2.599,2.47300000000001
265,-1.535,-3.887,2.352
13,-0.207999999999991,-2.47900000000001,2.27100000000002
556,0.349000000000004,-1.911,2.26
172,1.094,-1.08400000000001,2.17800000000001
5,-4.785,-6.84999999999999,2.06499999999999
301,-2.017,-4.00700000000001,1.99000000000002
293,-6.636,-8.539,1.90300000000001
544,-4.8,-6.668,1.868
168,1.741,-0.106000000000009,1.84700000000001
917,-2.507,-4.29,1.783
140,1.661,-0.120000000000005,1.78100000000001
949,-3.65699999999999,-4.98700000000001,1.33000000000002
9,-0.413999999999994,-1.73400000000001,1.32000000000001
297,-2.672,-3.95100000000001,1.27900000000001
512,-3.71400000000001,-4.95400000000001,1.24
913,-2.57399999999999,-3.782,1.20800000000001
737,-5.913,-7.114,1.201
935,-8.504,-9.701,1.197
903,-7.756,-8.90800000000001,1.15200000000001
661,-2.005,-3.15000000000001,1.145
457,-1.37799999999999,-2.50900000000001,1.13100000000002
257,-7.701,-8.82300000000001,1.12200000000001
4,-0.153999999999996,-1.268,1.114
980,-1.43999999999999,-2.49300000000001,1.05300000000002
945,-3.38699999999999,-4.407,1.02000000000001
197,-3.36899999999999,-4.36300000000001,0.994000000000021
292,-2.435,-3.39400000000001,0.95900000000001
981,-4.213,-5.14700000000001,0.934000000000005
647,-7.56,-8.481,0.920999999999999
921,0.378999999999998,-0.51100000000001,0.890000000000008
192,0.818999999999996,-0.0640000000000072,0.883000000000003
300,0.380000000000003,-0.445000000000007,0.82500000000001
679,-8.358,-9.178,0.820000000000007
12,2.273,1.46199999999999,0.811000000000007
931,-9.47,-10.28,0.810000000000002
391,-7.156,-7.95900000000001,0.803000000000011
902,-7.483,-8.27000000000001,0.787000000000006
953,-0.547000000000004,-1.33400000000001,0.787000000000006
45,-1.201,-1.98600000000001,0.785000000000011
976,-1.18,-1.943,0.762999999999998
618,-5.64600000000001,-6.40600000000001,0.759999999999998
669,0.846000000000011,0.100999999999985,0.745000000000026
405,-1.57699999999999,-2.306,0.729000000000006
899,-8.704,-9.43300000000001,0.729000000000006
916,-0.778000000000006,-1.50200000000001,0.724000000000004
678,-8.006,-8.71800000000001,0.71200000000001
977,-4.24700000000001,-4.959,0.711999999999996
646,-7.365,-8.07200000000001,0.707000000000008
481,-4.156,-4.851,0.695
135,-6.719,-7.37400000000001,0.655000000000008
205,-0.151999999999994,-0.803000000000011,0.651000000000018
693,-3.06600000000001,-3.71100000000001,0.644999999999996
493,-0.960000000000001,-1.596,0.636000000000003
134,-7.24699999999999,-7.851,0.604000000000006
687,-5.291,-5.89100000000001,0.600000000000009
488,1.79,1.194,0.595999999999997
989,-1.09000000000001,-1.68400000000001,0.594000000000001
610,-12.821,-13.402,0.58100000000001
643,-8.546,-9.117,0.571000000000005
692,-0.376000000000005,-0.939000000000007,0.563000000000002
701,-0.143999999999991,-0.704000000000001,0.560000000000009
413,0.707000000000001,0.155999999999992,0.551000000000009
289,-8.388,-8.939,0.550999999999995
660,0.00600000000000023,-0.544000000000004,0.550000000000004
939,-6.39,-6.93200000000001,0.542000000000009
675,-9.30500000000001,-9.819,0.513999999999996
37,-5.567,-6.08000000000001,0.513000000000012
985,-0.817999999999991,-1.33,0.512000000000008
657,-1.45399999999999,-1.95300000000002,0.499000000000031
296,0.674999999999997,0.176999999999985,0.498000000000012
724,-0.747999999999998,-1.24600000000001,0.498000000000012
1012,-1.418,-1.907,0.488999999999997
489,-0.897999999999989,-1.38500000000002,0.48700000000003
611,-11.933,-12.403,0.470000000000006
1008,-0.93399999999999,-1.401,0.467000000000006
36,-0.623000000000005,-1.09,0.466999999999992
836,-4.93200000000001,-5.39800000000001,0.466000000000001
674,-9.28099999999999,-9.74400000000001,0.463000000000015
224,1.36900000000001,0.911000000000001,0.458000000000006
942,-5.647,-6.10500000000001,0.458000000000006
354,-13.453,-13.891,0.438000000000024
956,0.420000000000002,-0.0180000000000078,0.43800000000001
654,-4.316,-4.75000000000001,0.434000000000012
399,-4.63799999999999,-5.06,0.422000000000011
866,-12.851,-13.269,0.418000000000013
201,0.205999999999996,-0.208000000000013,0.414000000000009
1013,-4.08299999999999,-4.49600000000001,0.413000000000018
665,1.435,1.03399999999999,0.401000000000003
468,-0.181999999999995,-0.579000000000008,0.397000000000013
143,-3.854,-4.23900000000001,0.385000000000012
988,0.865000000000002,0.480999999999995,0.384000000000007
725,-3.543,-3.92000000000002,0.377000000000017
229,-2.657,-3.03000000000002,0.373000000000012
390,-7.763,-8.134,0.371000000000002
689,-2.108,-2.46400000000001,0.356000000000009
578,-12.968,-13.313,0.34500000000002
149,-0.154999999999994,-0.497,0.342000000000006
898,-8.77099999999999,-9.106,0.335000000000008
924,1.035,0.705999999999989,0.329000000000015
469,-2.56799999999999,-2.89600000000002,0.328000000000024
867,-12.337,-12.662,0.32500000000001
642,-8.79399999999999,-9.118,0.324000000000012
288,-2.852,-3.17500000000001,0.323000000000008
906,-5.459,-5.77900000000001,0.320000000000007
622,-4.324,-4.64400000000001,0.32
8,2.832,2.51499999999999,0.317000000000007
686,-5.154,-5.46800000000001,0.314000000000014
650,-4.936,-5.248,0.311999999999998
938,-6.21899999999999,-6.522,0.303000000000011
1009,-4.142,-4.44500000000001,0.303000000000004
944,-0.396999999999998,-0.694000000000003,0.297000000000004
720,0.226999999999997,-0.0650000000000119,0.292000000000009
697,0.606999999999999,0.315999999999988,0.291000000000011
44,1.841,1.551,0.289999999999999
984,1.42300000000001,1.145,0.278000000000013
395,-5.193,-5.46400000000001,0.271000000000001
142,-4.316,-4.582,0.265999999999998
148,1.495,1.23,0.265000000000008
700,1.413,1.14899999999999,0.264000000000003
614,-9.194,-9.455,0.261000000000003
683,-5.833,-6.09200000000001,0.259
404,-0.0139999999999958,-0.271000000000008,0.257000000000012
102,-8.84299999999998,-9.09600000000002,0.253000000000036
236,2.847,2.59599999999999,0.251000000000012
398,-4.96299999999999,-5.21400000000001,0.251000000000012
436,0.0889999999999986,-0.162000000000013,0.251000000000012
409,1.246,0.995999999999995,0.250000000000007
401,-0.848000000000006,-1.096,0.247999999999998
651,-5.027,-5.27100000000001,0.244000000000007
157,1.87600000000001,1.636,0.240000000000016
668,2.027,1.787,0.240000000000002
579,-12.094,-12.332,0.238000000000007
682,-5.661,-5.893,0.231999999999999
387,-8.691,-8.91500000000001,0.224000000000011
423,-7.93999999999999,-8.159,0.219000000000008
870,-9.505,-9.71899999999999,0.213999999999992
733,-0.136000000000003,-0.345000000000013,0.20900000000001
430,-5.25299999999999,-5.461,0.208000000000006
721,-2.95199999999999,-3.157,0.205000000000005
422,-8.038,-8.24200000000001,0.204000000000015
437,-2.058,-2.26100000000001,0.20300000000001
844,-0.377000000000002,-0.580000000000013,0.20300000000001
431,-5.2,-5.39200000000001,0.192000000000007
362,-6.94799999999999,-7.136,0.18800000000001
394,-5.77799999999999,-5.965,0.187000000000012
139,-4.40000000000001,-4.57600000000001,0.176000000000002
732,1.95500000000001,1.78,0.175000000000004
110,-4.45099999999999,-4.62500000000001,0.174000000000028
477,0.228000000000002,0.0559999999999832,0.172000000000018
615,-8.82,-8.987,0.166999999999994
623,-3.727,-3.89099999999999,0.163999999999994
232,3.642,3.479,0.163000000000004
912,-0.105999999999995,-0.263000000000012,0.157000000000018
868,-4.806,-4.96300000000001,0.157000000000004
464,0.734999999999992,0.578000000000003,0.156999999999989
554,-7.362,-7.51800000000001,0.156000000000013
42,-8.367,-8.522,0.155000000000008
445,0.231999999999999,0.0769999999999911,0.155000000000008
1021,-0.847999999999992,-1.00200000000001,0.154000000000018
130,-9.415,-9.562,0.146999999999998
729,0.445,0.298000000000002,0.146999999999998
386,-9.526,-9.666,0.140000000000001
871,-9.465,-9.60000000000001,0.135000000000012
845,-4.075,-4.20800000000001,0.133000000000017
298,-8.88400000000001,-9.017,0.132999999999988
613,-7.105,-7.23600000000002,0.131000000000022
756,-0.530999999999999,-0.662000000000006,0.131000000000007
802,-13.208,-13.337,0.129000000000026
608,-3.798,-3.92400000000001,0.126000000000012
841,-4.35700000000001,-4.482,0.124999999999993
832,-6.12500000000001,-6.24900000000001,0.124000000000002
166,-7.774,-7.897,0.122999999999998
180,1.507,1.38599999999999,0.121000000000016
580,-3.41,-3.53000000000002,0.120000000000012
688,1.16,1.04,0.120000000000005
589,-2.24399999999999,-2.36200000000001,0.118000000000016
41,-1.23,-1.34400000000002,0.114000000000011
1020,1.147,1.03299999999999,0.114000000000011
803,-12.915,-13.028,0.113000000000007
46,-6.552,-6.66400000000002,0.112000000000016
465,-1.936,-2.04700000000001,0.111000000000011
775,-10.321,-10.432,0.111000000000011
412,1.582,1.471,0.111000000000004
138,-5.22799999999999,-5.33800000000002,0.110000000000021
834,-13.059,-13.169,0.110000000000021
444,1.538,1.42799999999999,0.110000000000014
175,-4.319,-4.428,0.109000000000009
131,-8.29,-8.39800000000001,0.108000000000011
952,1.166,1.062,0.104000000000006
167,-7.362,-7.46500000000001,0.103000000000016
728,2.814,2.711,0.103000000000002
358,-9.96699999999999,-10.068,0.10100000000002
