task,probe,x,y,z
------------------------------
0,marker0_xp127_yp35_zp97,126.493,22.540,94.946
0,marker0_xp127_yp23_zp108,117.618,16.981,106.286
0,marker0_xp127_yp47_zp85,129.095,33.068,82.939
0,marker0_xp142_yp35_zp125,124.199,21.557,98.113
0,marker1_xp42_yp8_zp100,61.360,5.526,99.355
0,marker1_xp42_yn4_zp100,61.172,-2.438,99.149
0,marker1_xp42_yp20_zp99,62.176,9.777,98.820
0,marker1_xp57_yp8_zp106,68.053,2.791,105.060
0,marker1_xp57_yn4_zp106,68.061,-2.893,105.062
0,marker1_xp57_yp20_zp103,69.035,12.068,102.374
0,marker1_xp67_yp8_zp112,80.702,4.137,109.856
0,marker1_xp67_yn4_zp112,80.717,-4.184,109.863
0,marker1_xp67_yp20_zp107,79.880,15.707,105.024
0,marker1_xp92_yp8_zp114,98.921,-6.629,111.985
0,marker1_xp92_yp20_zp114,98.907,6.626,111.986
0,marker2_xp42_yn8_zp100,61.397,-5.698,99.371
0,marker2_xp42_yn20_zp99,62.196,-9.861,98.834
0,marker2_xp42_yp4_zp100,61.183,2.279,99.146
0,marker2_xp57_yn20_zp103,69.077,-12.191,102.400
0,marker2_xp67_yn20_zp107,79.932,-15.753,105.044
0,marker3_xp127_yn35_zp97,126.521,-22.501,94.949
0,marker3_xp127_yn47_zp85,129.108,-33.038,82.955
0,marker3_xp127_yn23_zp108,117.647,-16.946,106.289
0,marker3_xp142_yn35_zp125,124.228,-21.518,98.118
0,marker4_xp91_yp28_zp113,98.047,13.900,111.380
0,marker4_xp106_yp28_zp109,97.575,18.929,106.865
0,marker4_xp116_yp16_zp110,115.708,0.017,108.241
0,marker4_xp126_yp16_zp110,116.885,7.580,107.645
0,marker4_xp126_yp28_zp104,121.135,20.242,102.345
0,marker4_xp141_yp16_zp96,127.342,19.679,94.411
0,marker4_xp141_yp4_zp97,129.059,8.742,95.255
0,marker5_xp42_yn8_zp96,60.248,-5.947,95.274
0,marker6_xp35_yp0_zp95,60.652,-0.074,93.432
0,marker7_xp42_yp8_zp96,60.430,5.759,95.093
0,marker9_xp70_yp33_zp97,72.447,14.162,95.525
0,marker9_xp85_yp33_zp98,82.032,16.490,96.437
0,marker9_xp105_yp33_zp104,113.940,21.688,102.570
0,marker10_xp87_yp24_zp110,97.256,13.341,108.027
0,marker11_xp73_yp20_zp111,80.266,9.821,109.367
0,marker13_xp73_yn20_zp111,80.300,-9.876,109.372
0,marker13_xp88_yn20_zp113,98.078,-13.902,111.384
0,marker13_xp123_yn20_zp110,116.900,-7.541,107.649
0,marker14_xp87_yn28_zp109,97.614,-18.941,106.858
0,marker15_xp70_yn33_zp97,72.513,-14.214,95.562
0,marker15_xp85_yn33_zp98,82.079,-16.607,96.433
0,marker15_xp105_yn33_zp104,113.976,-21.657,102.581
0,marker16_xp58_yp24_zp99,63.503,8.777,98.897
0,marker16_xp78_yp0_zp114,98.147,-0.000,111.654
0,marker20_xp54_yn20_zp99,63.486,-8.928,98.882
0,marker24_xp42_yp0_zp100,60.936,-0.083,98.727
1,marker0_xp127_yp35_zp97,128.931,23.030,94.376
1,marker0_xp127_yp23_zp108,121.193,17.024,106.110
1,marker0_xp127_yp47_zp85,130.185,33.568,82.096
1,marker0_xp142_yp35_zp125,126.942,21.914,97.669
1,marker1_xp42_yp8_zp100,69.254,5.580,90.859
1,marker1_xp42_yn4_zp100,69.516,-2.204,90.575
1,marker1_xp42_yp20_zp99,69.289,9.628,92.012
1,marker1_xp57_yp8_zp106,71.478,2.862,100.996
1,marker1_xp57_yn4_zp106,71.468,-2.440,101.047
1,marker1_xp57_yp20_zp103,73.071,11.952,99.964
1,marker1_xp67_yp8_zp112,83.952,4.242,110.454
1,marker1_xp67_yn4_zp112,83.947,-3.962,110.470
1,marker1_xp67_yp20_zp107,83.672,15.760,106.438
1,marker1_xp92_yp8_zp114,103.072,-6.414,112.964
1,marker1_xp92_yp20_zp114,103.095,6.569,112.954
