task,probe,x,y,z
------------------------------
0,marker0_xp127_yp35_zp97,126.033,22.477,95.209
0,marker0_xp127_yp23_zp108,116.850,16.937,106.443
0,marker0_xp127_yp47_zp85,128.961,32.961,83.151
0,marker0_xp142_yp35_zp125,123.656,21.495,98.347
0,marker1_xp42_yp8_zp100,60.447,5.776,96.327
0,marker1_xp42_yn4_zp100,60.233,-2.465,96.254
0,marker1_xp42_yp20_zp99,61.304,9.856,95.788
0,marker1_xp57_yp8_zp106,66.624,2.848,102.980
0,marker1_xp57_yn4_zp106,66.623,-2.790,102.982
0,marker1_xp57_yp20_zp103,67.818,12.029,100.512
0,marker1_xp67_yp8_zp112,79.294,4.149,108.896
0,marker1_xp67_yn4_zp112,79.293,-4.091,108.898
0,marker1_xp67_yp20_zp107,78.776,15.638,104.247
0,marker1_xp92_yp8_zp114,97.809,-6.549,111.780
0,marker1_xp92_yp20_zp114,97.810,6.606,111.777
0,marker2_xp42_yn8_zp100,60.447,-5.721,96.329
0,marker2_xp42_yn20_zp99,61.302,-9.800,95.792
0,marker2_xp42_yp4_zp100,60.233,2.521,96.252
0,marker2_xp57_yn20_zp103,67.816,-11.972,100.518
0,marker2_xp67_yn20_zp107,78.774,-15.582,104.254
0,marker3_xp127_yn35_zp97,126.029,-22.434,95.225
0,marker3_xp127_yn47_zp85,128.959,-32.928,83.181
0,marker3_xp127_yn23_zp108,116.846,-16.885,106.454
0,marker3_xp142_yn35_zp125,123.651,-21.449,98.364
0,marker4_xp91_yp28_zp113,97.005,13.849,111.187
0,marker4_xp106_yp28_zp109,96.691,18.879,106.706
0,marker4_xp116_yp16_zp110,114.822,0.027,108.387
0,marker4_xp126_yp16_zp110,116.035,7.571,107.800
0,marker4_xp126_yp28_zp104,120.480,20.183,102.541
0,marker4_xp141_yp16_zp96,126.880,19.621,94.686
0,marker4_xp141_yp4_zp97,128.532,8.705,95.577
0,marker5_xp42_yn8_zp96,59.884,-5.966,91.596
0,marker6_xp35_yp0_zp95,60.284,0.027,90.621
