task,probe,x,y,z
------------------------------
0,marker0_xp127_yp35_zp97,126.494,22.540,94.946
0,marker0_xp127_yp23_zp108,117.618,16.981,106.286
0,marker0_xp127_yp47_zp85,129.095,33.068,82.939
0,marker0_xp142_yp35_zp125,124.200,21.556,98.113
0,marker1_xp42_yp8_zp100,61.364,5.527,99.354
0,marker1_xp42_yn4_zp100,61.178,-2.440,99.154
0,marker1_xp42_yp20_zp99,62.177,9.776,98.818
0,marker1_xp57_yp8_zp106,68.055,2.791,105.062
0,marker1_xp57_yn4_zp106,68.064,-2.893,105.066
0,marker1_xp57_yp20_zp103,69.037,12.069,102.376
0,marker1_xp67_yp8_zp112,80.704,4.137,109.857
0,marker1_xp67_yn4_zp112,80.719,-4.184,109.863
0,marker1_xp67_yp20_zp107,79.882,15.707,105.025
0,marker1_xp92_yp8_zp114,98.922,-6.629,111.985
0,marker1_xp92_yp20_zp114,98.908,6.626,111.986
0,marker2_xp42_yn8_zp100,61.401,-5.699,99.380
0,marker2_xp42_yn20_zp99,62.206,-9.874,98.849
0,marker2_xp42_yp4_zp100,61.186,2.278,99.148
0,marker2_xp57_yn20_zp103,69.081,-12.192,102.401
0,marker2_xp67_yn20_zp107,79.934,-15.754,105.046
0,marker3_xp127_yn35_zp97,126.521,-22.501,94.949
0,marker3_xp127_yn47_zp85,129.108,-33.039,82.955
0,marker3_xp127_yn23_zp108,117.647,-16.946,106.288
0,marker3_xp142_yn35_zp125,124.228,-21.518,98.117
0,marker4_xp91_yp28_zp113,98.048,13.900,111.381
0,marker4_xp106_yp28_zp109,97.576,18.929,106.866
0,marker4_xp116_yp16_zp110,115.709,0.017,108.241
0,marker4_xp126_yp16_zp110,116.886,7.579,107.645
0,marker4_xp126_yp28_zp104,121.136,20.242,102.344
0,marker4_xp141_yp16_zp96,127.343,19.679,94.410
0,marker4_xp141_yp4_zp97,129.060,8.741,95.255
0,marker5_xp42_yn8_zp96,60.268,-5.978,95.282
0,marker6_xp35_yp0_zp95,60.653,-0.083,93.436
0,marker7_xp42_yp8_zp96,60.431,5.758,95.092
0,marker9_xp70_yp33_zp97,72.448,14.162,95.527
0,marker9_xp85_yp33_zp98,82.034,16.490,96.438
0,marker9_xp105_yp33_zp104,113.941,21.688,102.570
0,marker10_xp87_yp24_zp110,97.257,13.341,108.027
0,marker11_xp73_yp20_zp111,80.268,9.822,109.369
0,marker13_xp73_yn20_zp111,80.302,-9.876,109.373
0,marker13_xp88_yn20_zp113,98.079,-13.903,111.384
0,marker13_xp123_yn20_zp110,116.900,-7.542,107.649
0,marker14_xp87_yn28_zp109,97.615,-18.941,106.857
0,marker15_xp70_yn33_zp97,72.516,-14.216,95.565
0,marker15_xp85_yn33_zp98,82.080,-16.607,96.433
0,marker15_xp105_yn33_zp104,113.976,-21.658,102.580
0,marker16_xp58_yp24_zp99,63.506,8.776,98.896
0,marker16_xp78_yp0_zp114,98.148,-0.000,111.654
0,marker20_xp54_yn20_zp99,63.494,-8.937,98.891
0,marker24_xp42_yp0_zp100,60.940,-0.086,98.729
1,marker0_xp127_yp35_zp97,128.931,23.030,94.376
1,marker0_xp127_yp23_zp108,121.193,17.024,106.110
1,marker0_xp127_yp47_zp85,130.185,33.568,82.096
1,marker0_xp142_yp35_zp125,126.942,21.914,97.669
1,marker1_xp42_yp8_zp100,69.254,5.580,90.859
1,marker1_xp42_yn4_zp100,69.516,-2.204,90.575
1,marker1_xp42_yp20_zp99,69.289,9.628,92.012
1,marker1_xp57_yp8_zp106,71.478,2.862,100.996
1,marker1_xp57_yn4_zp106,71.468,-2.440,101.047
1,marker1_xp57_yp20_zp103,73.071,11.952,99.964
1,marker1_xp67_yp8_zp112,83.952,4.242,110.454
1,marker1_xp67_yn4_zp112,83.947,-3.962,110.470
1,marker1_xp67_yp20_zp107,83.672,15.760,106.438
1,marker1_xp92_yp8_zp114,103.072,-6.414,112.964
1,marker1_xp92_yp20_zp114,103.095,6.569,112.954
1,marker2_xp42_yn8_zp100,69.203,-5.153,90.946
1,marker2_xp42_yn20_zp99,69.156,-9.272,92.148
1,marker2_xp42_yp4_zp100,69.539,2.582,90.525
1,marker2_xp57_yn20_zp103,73.007,-11.564,100.122
1,marker2_xp67_yn20_zp107,83.604,-15.495,106.481
1,marker3_xp127_yn35_zp97,128.870,-22.989,94.420
1,marker3_xp127_yn47_zp85,130.153,-33.534,82.152
1,marker3_xp127_yn23_zp108,121.127,-16.954,106.136
1,marker3_xp142_yn35_zp125,126.877,-21.865,97.710
1,marker4_xp91_yp28_zp113,102.338,13.818,112.664
