task,probe,x,y,z
------------------------------
0,marker0_xp127_yp35_zp97,126.492,22.542,94.946
0,marker0_xp127_yp23_zp108,117.615,16.983,106.286
0,marker0_xp127_yp47_zp85,129.094,33.069,82.939
0,marker0_xp142_yp35_zp125,124.198,21.558,98.114
0,marker1_xp42_yp8_zp100,61.356,5.504,99.346
0,marker1_xp42_yn4_zp100,61.162,-2.468,99.111
0,marker1_xp42_yp20_zp99,62.170,9.758,98.818
0,marker1_xp57_yp8_zp106,68.047,2.773,105.049
0,marker1_xp57_yn4_zp106,68.052,-2.904,105.045
0,marker1_xp57_yp20_zp103,69.028,12.053,102.372
0,marker1_xp67_yp8_zp112,80.698,4.131,109.853
0,marker1_xp67_yn4_zp112,80.715,-4.190,109.861
0,marker1_xp67_yp20_zp107,79.873,15.699,105.023
0,marker1_xp92_yp8_zp114,98.921,-6.627,111.985
0,marker1_xp92_yp20_zp114,98.904,6.627,111.986
0,marker2_xp42_yn8_zp100,61.382,-5.717,99.329
0,marker2_xp42_yn20_zp99,62.192,-9.866,98.802
0,marker2_xp42_yp4_zp100,61.180,2.256,99.129
0,marker2_xp57_yn20_zp103,69.076,-12.203,102.394
0,marker2_xp67_yn20_zp107,79.936,-15.758,105.043
0,marker3_xp127_yn35_zp97,126.523,-22.500,94.949
0,marker3_xp127_yn47_zp85,129.108,-33.038,82.955
0,marker3_xp127_yn23_zp108,117.649,-16.943,106.289
0,marker3_xp142_yn35_zp125,124.230,-21.516,98.118
0,marker4_xp91_yp28_zp113,98.043,13.900,111.380
0,marker4_xp106_yp28_zp109,97.570,18.928,106.865
0,marker4_xp116_yp16_zp110,115.708,0.020,108.242
0,marker4_xp126_yp16_zp110,116.884,7.582,107.646
0,marker4_xp126_yp28_zp104,121.132,20.244,102.345
0,marker4_xp141_yp16_zp96,127.341,19.680,94.411
0,marker4_xp141_yp4_zp97,129.059,8.744,95.256
0,marker5_xp42_yn8_zp96,60.252,-5.954,95.274
0,marker6_xp35_yp0_zp95,60.658,-0.080,93.410
0,marker7_xp42_yp8_zp96,60.429,5.745,95.087
0,marker9_xp70_yp33_zp97,72.441,14.152,95.524
0,marker9_xp85_yp33_zp98,82.027,16.489,96.437
0,marker9_xp105_yp33_zp104,113.937,21.689,102.570
0,marker10_xp87_yp24_zp110,97.252,13.340,108.026
0,marker11_xp73_yp20_zp111,80.260,9.814,109.365
0,marker13_xp73_yn20_zp111,80.300,-9.881,109.370
0,marker13_xp88_yn20_zp113,98.081,-13.902,111.386
0,marker13_xp123_yn20_zp110,116.901,-7.540,107.650
0,marker14_xp87_yn28_zp109,97.618,-18.941,106.860
0,marker15_xp70_yn33_zp97,72.526,-14.222,95.563
0,marker15_xp85_yn33_zp98,82.086,-16.614,96.432
0,marker15_xp105_yn33_zp104,113.979,-21.656,102.582
0,marker16_xp58_yp24_zp99,63.499,8.759,98.893
0,marker16_xp78_yp0_zp114,98.145,-0.001,111.654
0,marker20_xp54_yn20_zp99,63.488,-8.942,98.858
0,marker24_xp42_yp0_zp100,60.930,-0.108,98.702
1,marker0_xp127_yp35_zp97,127.818,22.794,94.587
1,marker0_xp127_yp23_zp108,119.656,17.001,106.174
1,marker0_xp127_yp47_zp85,129.618,33.362,82.489
1,marker0_xp142_yp35_zp125,125.716,21.744,97.831
1,marker1_xp42_yp8_zp100,65.228,5.549,94.337
1,marker1_xp42_yn4_zp100,65.290,-2.073,94.023
1,marker1_xp42_yp20_zp99,65.801,9.801,94.927
1,marker1_xp57_yp8_zp106,69.810,2.907,103.137
1,marker1_xp57_yn4_zp106,69.807,-2.494,103.182
1,marker1_xp57_yp20_zp103,71.245,12.022,101.461
1,marker1_xp67_yp8_zp112,82.600,4.259,110.469
1,marker1_xp67_yn4_zp112,82.588,-3.995,110.482
1,marker1_xp67_yp20_zp107,82.113,15.834,106.126
1,marker1_xp92_yp8_zp114,101.331,-6.481,112.670
1,marker1_xp92_yp20_zp114,101.358,6.618,112.664
1,marker2_xp42_yn8_zp100,65.155,-5.097,94.463
1,marker2_xp42_yn20_zp99,65.688,-9.367,95.125
1,marker2_xp42_yp4_zp100,65.317,2.514,93.963
1,marker2_xp57_yn20_zp103,71.175,-11.656,101.579
1,marker2_xp67_yn20_zp107,82.026,-15.573,106.165
1,marker3_xp127_yn35_zp97,127.761,-22.755,94.626
1,marker3_xp127_yn47_zp85,129.589,-33.329,82.539
1,marker3_xp127_yn23_zp108,119.592,-16.939,106.194
1,marker3_xp142_yn35_zp125,125.655,-21.699,97.867
1,marker4_xp91_yp28_zp113,100.556,13.902,112.224
1,marker4_xp106_yp28_zp109,99.971,19.040,107.848
1,marker4_xp116_yp16_zp110,117.798,0.034,108.101
1,marker4_xp126_yp16_zp110,118.968,7.591,107.489
1,marker4_xp126_yp28_zp104,122.908,20.342,102.165
1,marker4_xp141_yp16_zp96,128.670,19.895,94.035
1,marker4_xp141_yp4_zp97,130.439,8.824,94.770
1,marker5_xp42_yn8_zp96,67.593,-6.020,89.924
1,marker6_xp35_yp0_zp95,67.548,0.162,88.777
1,marker7_xp42_yp8_zp96,67.691,6.410,89.787
1,marker9_xp70_yp33_zp97,75.761,15.118,95.725
1,marker9_xp85_yp33_zp98,84.716,17.342,97.717
1,marker9_xp105_yp33_zp104,115.843,21.770,102.637
1,marker10_xp87_yp24_zp110,99.638,13.416,108.847
1,marker11_xp73_yp20_zp111,82.210,9.804,110.093
1,marker13_xp73_yn20_zp111,82.170,-9.538,110.121
1,marker13_xp88_yn20_zp113,100.496,-13.763,112.236
1,marker13_xp123_yn20_zp110,118.937,-7.528,107.499
1,marker14_xp87_yn28_zp109,99.890,-18.900,107.867
1,marker15_xp70_yn33_zp97,75.644,-14.829,95.795
1,marker15_xp85_yn33_zp98,84.608,-17.118,97.771
1,marker15_xp105_yn33_zp104,115.765,-21.696,102.660
1,marker16_xp58_yp24_zp99,67.233,8.781,95.567
1,marker16_xp78_yp0_zp114,100.537,0.071,112.274
1,marker20_xp54_yn20_zp99,67.147,-8.354,95.745
1,marker24_xp42_yp0_zp100,65.443,0.216,93.476
2,marker0_xp127_yp35_zp97,128.931,23.029,94.376
2,marker0_xp127_yp23_zp108,121.193,17.024,106.110
2,marker0_xp127_yp47_zp85,130.185,33.568,82.096
2,marker0_xp142_yp35_zp125,126.942,21.914,97.669
2,marker1_xp42_yp8_zp100,69.254,5.580,90.859
2,marker1_xp42_yn4_zp100,69.516,-2.204,90.575
2,marker1_xp42_yp20_zp99,69.289,9.628,92.012
2,marker1_xp57_yp8_zp106,71.478,2.862,100.996
2,marker1_xp57_yn4_zp106,71.468,-2.440,101.047
2,marker1_xp57_yp20_zp103,73.071,11.952,99.964
2,marker1_xp67_yp8_zp112,83.952,4.242,110.454
2,marker1_xp67_yn4_zp112,83.947,-3.962,110.470
2,marker1_xp67_yp20_zp107,83.672,15.760,106.438
2,marker1_xp92_yp8_zp114,103.072,-6.414,112.964
2,marker1_xp92_yp20_zp114,103.095,6.569,112.954
2,marker2_xp42_yn8_zp100,69.203,-5.153,90.946
2,marker2_xp42_yn20_zp99,69.156,-9.272,92.148
2,marker2_xp42_yp4_zp100,69.539,2.582,90.525
2,marker2_xp57_yn20_zp103,73.007,-11.564,100.122
2,marker2_xp67_yn20_zp107,83.604,-15.495,106.480
2,marker3_xp127_yn35_zp97,128.870,-22.989,94.420
2,marker3_xp127_yn47_zp85,130.153,-33.535,82.152
2,marker3_xp127_yn23_zp108,121.127,-16.954,106.136
2,marker3_xp142_yn35_zp125,126.877,-21.865,97.710
2,marker4_xp91_yp28_zp113,102.338,13.817,112.664
2,marker4_xp106_yp28_zp109,101.723,19.075,108.398
2,marker4_xp116_yp16_zp110,119.376,0.038,107.986
2,marker4_xp126_yp16_zp110,120.552,7.591,107.398
2,marker4_xp126_yp28_zp104,124.284,20.424,102.070
2,marker4_xp141_yp16_zp96,129.791,20.090,93.815
2,marker4_xp141_yp4_zp97,131.572,8.928,94.458
2,marker5_xp42_yn8_zp96,73.192,-6.938,87.349
2,marker6_xp35_yp0_zp95,72.899,0.143,86.316
2,marker7_xp42_yp8_zp96,73.276,7.222,87.288
2,marker9_xp70_yp33_zp97,78.255,15.438,95.358
2,marker9_xp85_yp33_zp98,86.740,17.822,98.264
2,marker9_xp105_yp33_zp104,117.331,21.807,102.702
2,marker10_xp87_yp24_zp110,101.383,13.403,109.260
2,marker11_xp73_yp20_zp111,83.563,9.701,110.101
2,marker13_xp73_yn20_zp111,83.532,-9.412,110.145
2,marker13_xp88_yn20_zp113,102.281,-13.667,112.680
2,marker13_xp123_yn20_zp110,120.520,-7.524,107.407
2,marker14_xp87_yn28_zp109,101.640,-18.918,108.429
2,marker15_xp70_yn33_zp97,78.143,-15.191,95.442
2,marker15_xp85_yn33_zp98,86.631,-17.574,98.323
2,marker15_xp105_yn33_zp104,117.252,-21.731,102.728
2,marker16_xp58_yp24_zp99,70.577,8.854,92.804
2,marker16_xp78_yp0_zp114,102.266,0.077,112.534
2,marker20_xp54_yn20_zp99,70.497,-8.431,92.994
2,marker24_xp42_yp0_zp100,69.903,0.178,90.085
3,marker0_xp127_yp35_zp97,126.684,25.712,93.226
3,marker0_xp127_yp23_zp108,120.894,20.579,103.278
3,marker0_xp127_yp47_zp85,127.586,35.643,80.753
3,marker0_xp142_yp35_zp125,125.030,24.982,96.173
3,marker1_xp42_yp8_zp100,82.718,6.226,117.617
3,marker1_xp42_yn4_zp100,83.084,-2.678,117.888
3,marker1_xp42_yp20_zp99,81.841,10.519,116.181
3,marker1_xp57_yp8_zp106,90.208,3.581,118.169
3,marker1_xp57_yn4_zp106,90.207,-3.525,118.171
3,marker1_xp57_yp20_zp103,87.051,13.918,114.732
3,marker1_xp67_yp8_zp112,99.988,5.116,115.708
3,marker1_xp67_yn4_zp112,99.986,-5.064,115.710
3,marker1_xp67_yp20_zp107,94.575,17.661,111.553
3,marker1_xp92_yp8_zp114,112.083,-7.561,110.791
3,marker1_xp92_yp20_zp114,112.086,7.607,110.787
3,marker2_xp42_yn8_zp100,82.716,-6.168,117.620
3,marker2_xp42_yn20_zp99,81.838,-10.461,116.186
3,marker2_xp42_yp4_zp100,83.085,2.736,117.887
3,marker2_xp57_yn20_zp103,87.047,-13.863,114.738
3,marker2_xp67_yn20_zp107,94.569,-17.609,111.561
3,marker3_xp127_yn35_zp97,126.676,-25.680,93.243
3,marker3_xp127_yn47_zp85,127.579,-35.620,80.780
3,marker3_xp127_yn23_zp108,120.888,-20.540,103.290
3,marker3_xp142_yn35_zp125,125.022,-24.948,96.190
3,marker4_xp91_yp28_zp113,109.778,16.267,110.813
3,marker4_xp106_yp28_zp109,105.391,21.847,106.158
3,marker4_xp116_yp16_zp110,122.805,0.020,104.071
3,marker4_xp126_yp16_zp110,123.168,9.357,103.865
3,marker4_xp126_yp28_zp104,122.821,24.006,100.110
3,marker4_xp141_yp16_zp96,127.262,22.402,93.170
3,marker4_xp141_yp4_zp97,129.860,10.512,93.505
3,marker5_xp42_yn8_zp96,78.397,-5.989,116.332
3,marker6_xp35_yp0_zp95,78.016,0.029,115.872
3,marker7_xp42_yp8_zp96,78.399,6.047,116.330
3,marker9_xp70_yp33_zp97,84.259,14.862,106.723
3,marker9_xp85_yp33_zp98,90.399,18.188,102.486
3,marker9_xp105_yp33_zp104,115.172,25.259,99.351
3,marker10_xp87_yp24_zp110,107.414,15.262,107.376
3,marker11_xp73_yp20_zp111,98.642,11.619,115.417
3,marker13_xp73_yn20_zp111,98.638,-11.567,115.422
3,marker13_xp88_yn20_zp113,109.772,-16.221,110.821
3,marker13_xp123_yn20_zp110,123.165,-9.319,103.871
3,marker14_xp87_yn28_zp109,105.384,-21.802,106.168
3,marker15_xp70_yn33_zp97,84.254,-14.810,106.730
3,marker15_xp85_yn33_zp98,90.393,-18.140,102.494
3,marker15_xp105_yn33_zp104,115.164,-25.220,99.365
3,marker16_xp58_yp24_zp99,82.711,9.710,115.551
3,marker16_xp78_yp0_zp114,111.669,0.023,110.564
3,marker20_xp54_yn20_zp99,82.707,-9.653,115.555
3,marker24_xp42_yp0_zp100,82.871,0.029,117.836
4,marker0_xp127_yp35_zp97,127.842,25.759,93.051
4,marker0_xp127_yp23_zp108,122.231,20.535,103.319
4,marker0_xp127_yp47_zp85,128.196,35.760,80.485
4,marker0_xp142_yp35_zp125,126.250,24.997,96.055
4,marker1_xp42_yp8_zp100,82.598,5.952,114.964
4,marker1_xp42_yn4_zp100,82.836,-2.543,115.030
4,marker1_xp42_yp20_zp99,82.114,10.215,113.971
4,marker1_xp57_yp8_zp106,90.398,3.501,117.037
4,marker1_xp57_yn4_zp106,90.397,-3.446,117.038
4,marker1_xp57_yp20_zp103,87.712,13.855,113.857
4,marker1_xp67_yp8_zp112,100.754,5.095,115.560
4,marker1_xp67_yn4_zp112,100.752,-5.042,115.563
4,marker1_xp67_yp20_zp107,95.714,17.732,111.530
