#---------- Mon May 12 19:12:57 PDT 2025 ----------
#Format: Task Counter Number,Did Simulation Succeed,Last Step Size Used,Number of Simulations Attempted
0,true,0.01,1
1,true,0.01,1
2,false,0.01,1
3,false,0.01,1
4,false,0.01,1
5,false,0.01,1
6,false,0.01,1
7,false,0.01,1
8,false,0.01,1
9,false,0.01,1
10,false,0.01,1
11,false,0.01,1
12,false,0.01,1
13,false,0.01,1
14,false,0.01,1
15,false,0.01,1
16,false,0.01,1
17,false,0.01,1
18,true,0.01,1
19,false,0.01,1
20,false,0.01,1
21,false,0.01,1
22,false,0.01,1
23,false,0.01,1
24,false,0.01,1
25,false,0.01,1
26,false,0.01,1
#---------- Mon May 12 19:24:14 PDT 2025 ----------
#Format: Task Counter Number,Did Simulation Succeed,Last Step Size Used,Number of Simulations Attempted
0,true,0.01,1
1,true,0.01,1
2,false,0.01,1
3,false,0.01,1
4,false,0.01,1
5,false,0.01,1
6,false,0.01,1
#---------- Wed Jun 25 19:17:28 PDT 2025 ----------
#Format: Task Counter Number,Did Simulation Succeed,Last Step Size Used,Number of Simulations Attempted
0,true,0.01,1
1,true,0.01,1
2,false,0.01,1
3,true,0.01,1
4,false,0.01,1
5,false,0.01,1
6,true,0.01,1
7,false,0.01,1
8,false,0.01,1
9,true,0.01,1
10,false,0.01,1
11,false,0.01,1
12,false,0.01,1
13,false,0.01,1
14,false,0.01,1
15,false,0.01,1
16,false,0.01,1
17,false,0.01,1
18,false,0.01,1
19,false,0.01,1
20,false,0.01,1
21,false,0.01,1
22,false,0.01,1
23,false,0.01,1
24,false,0.01,1
25,false,0.01,1
26,false,0.01,1
#---------- Wed Jun 25 22:53:47 PDT 2025 ----------
#Format: Task Counter Number,Did Simulation Succeed,Last Step Size Used,Number of Simulations Attempted
0,true,0.01,1
1,true,0.01,1
2,false,0.01,1
3,true,0.01,1
4,false,0.01,1
5,false,0.01,1
6,true,0.01,1
7,false,0.01,1
8,false,0.01,1
9,true,0.01,1
10,false,0.01,1
11,false,0.01,1
12,false,0.01,1
13,false,0.01,1
14,false,0.01,1
15,false,0.01,1
16,false,0.01,1
17,false,0.01,1
18,false,0.01,1
19,false,0.01,1
20,false,0.01,1
21,false,0.01,1
22,false,0.01,1
23,false,0.01,1
24,false,0.01,1
25,false,0.01,1
26,false,0.01,1
#---------- Wed Jun 25 23:04:16 PDT 2025 ----------
#Format: Task Counter Number,Did Simulation Succeed,Last Step Size Used,Number of Simulations Attempted
0,true,0.01,1
1,true,0.01,1
2,true,0.01,1
3,true,0.01,1
#---------- Wed Jun 25 23:09:51 PDT 2025 ----------
#Format: Task Counter Number,Did Simulation Succeed,Last Step Size Used,Number of Simulations Attempted
5,true,0.01,1
6,true,0.01,1
7,true,0.01,1
8,true,0.01,1
9,true,0.01,1
10,true,0.01,1
#---------- Wed Jun 25 23:53:34 PDT 2025 ----------
#Format: Task Counter Number,Did Simulation Succeed,Last Step Size Used,Number of Simulations Attempted
12,true,0.01,1
13,true,0.01,1
#---------- Thu Jun 26 00:06:34 PDT 2025 ----------
#Format: Task Counter Number,Did Simulation Succeed,Last Step Size Used,Number of Simulations Attempted
15,true,0.01,1
16,true,0.01,1
17,true,0.01,1
18,true,0.01,1
19,true,0.01,1
20,false,0.01,1
21,true,0.01,1
22,true,0.01,1
#---------- Thu Jun 26 00:26:52 PDT 2025 ----------
#Format: Task Counter Number,Did Simulation Succeed,Last Step Size Used,Number of Simulations Attempted
24,true,0.01,1
25,true,0.01,1
26,true,0.01,1
27,true,0.01,1
#---------- Thu Jun 26 00:51:15 PDT 2025 ----------
#Format: Task Counter Number,Did Simulation Succeed,Last Step Size Used,Number of Simulations Attempted
0,true,0.01,1
1,true,0.01,1
2,true,0.01,1
3,true,0.01,1
4,true,0.01,1
5,true,0.01,1
6,true,0.01,1
7,true,0.01,1
8,true,0.01,1
9,true,0.01,1
10,true,0.01,1
11,true,0.01,1
12,true,0.01,1
13,true,0.01,1
14,true,0.01,1
15,true,0.01,1
16,true,0.01,1
17,true,0.01,1
18,true,0.01,1
19,true,0.01,1
20,true,0.01,1
21,true,0.01,1
22,true,0.01,1
23,true,0.01,1
24,true,0.01,1
#---------- Thu Jun 26 01:16:10 PDT 2025 ----------
#Format: Task Counter Number,Did Simulation Succeed,Last Step Size Used,Number of Simulations Attempted
0,true,0.01,1
1,true,0.01,1
#---------- Fri Jun 27 16:21:59 PDT 2025 ----------
#Format: Task Counter Number,Did Simulation Succeed,Last Step Size Used,Number of Simulations Attempted
0,true,0.01,1
1,true,0.01,1
2,true,0.01,1
3,true,0.01,1
